ATF2	ATF7	BRCA1	CBX5	CEBPB	CTCF	CUX1	E2F4	E2F8	E4F1	EBF1	ELF1	ELK1	EP300	ESRRA	ETS1	ETV6	GABPA	HSF1	IKZF1	IKZF2	IRF3	IRF4	IRF5	MAFK	MAX	MEF2A	MEF2B	NFATC1	NFE2	NFIC	NR2C2	NR2F1	PAX5	PAX8	PKNOX1	REST	RFX5	RUNX3	RXRA	SRF	STAT1	STAT3	STAT5A	TBP	TBX21	TCF12	TCF7	YY1	ZBTB33	ZNF143	ZNF384
SAMD11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0
KLHL17	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0
PLEKHN1	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0
HES4	1	3	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	5	0	0	1	0	5	0	0	2	0	0	2	0	0	1	0	0	0	2	3	0	1	0	1	0
ISG15	2	1	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	3	2	0	0	0	0	1	1	1	1	0	1	0	0	0	0	3	0	0	2	0	1	1	0	0	1	1	1	0	2	0	0	0
AGRN	2	1	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	2	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0	1	1	1	0	2	0	0	0
RNF223	1	1	0	0	1	0	0	0	0	2	1	4	0	1	0	0	1	0	0	3	2	0	1	0	0	4	1	2	1	0	2	0	4	2	0	3	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0
C1orf159	0	0	0	0	0	1	0	0	0	1	0	3	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0
TNFRSF18	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	3	3	0	0	0	1	1	1	1	0	0	0	0	5	1	0	1	1	0	7	0	0	0	0	1	0	1	4	0	2	0	0	0
TNFRSF4	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	1	2	0	0	0	3	1	0	1	1	0	6	0	0	0	0	2	0	1	3	0	1	0	0	0
SDF4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	2	0	0	0	3	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	2	0
B3GALT6	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	2	0	0	0	3	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	2	0
UBE2J2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0
ACAP3	1	0	0	0	1	6	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	3	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0
PUSL1	1	0	0	0	1	6	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	0	3	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0
CPSF3L	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TAS1R3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
DVL1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MXRA8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	3	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0
AURKAIP1	1	1	1	0	0	2	0	0	1	2	1	2	2	0	1	2	1	0	0	2	1	1	0	1	0	1	1	1	1	0	1	0	2	1	0	1	0	0	4	1	1	1	0	2	0	2	2	0	3	1	2	0
CCNL2	3	0	0	0	0	4	0	0	0	2	0	2	2	0	0	1	0	0	0	0	0	1	1	0	0	3	2	1	0	0	0	1	2	1	0	2	0	0	2	0	1	1	0	0	1	0	2	0	5	0	2	0
MRPL20	3	0	0	0	0	4	0	0	0	2	0	2	2	0	0	1	0	0	0	0	0	1	1	0	0	3	2	1	0	0	0	1	2	1	0	2	0	0	2	0	2	1	0	0	1	0	2	0	5	0	2	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
VWA1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0
ATAD3B	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ATAD3A	1	2	1	0	0	1	0	2	2	1	0	2	0	0	0	1	0	0	0	2	2	1	0	1	0	1	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	2	0	1	0	0	0	0	1	1	0	0	2	0	1	0	1	1	0	1
C1orf233	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
MIB2	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	3	0	0	2	0	0	1	0	0	0	1	0	1	0
MMP23B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
CDK11A	0	2	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SLC35E2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NADK	1	4	0	0	1	2	0	0	1	0	4	3	0	1	1	1	1	0	2	5	4	0	2	0	0	1	1	3	2	0	2	0	5	2	0	2	1	0	3	0	1	1	0	1	1	0	2	0	2	0	0	0
GNB1	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1
