ATF2	ELF1	ETV6	IKZF1	IKZF2	IRF3	IRF5	NFATC1	NR2F1	PAX8	PKNOX1	RUNX3	STAT1	STAT5A	TCF12
SAMD11	0	4	0	1	0	1	0	0	8	0	2	6	1	0	0
NOC2L	1	3	0	2	2	0	0	0	12	0	3	6	1	0	1
KLHL17	1	3	0	2	2	0	0	0	12	0	3	6	1	0	1
PLEKHN1	3	4	0	3	3	0	0	1	12	0	4	7	2	0	1
HES4	4	8	0	7	4	0	0	1	12	0	6	12	3	0	3
ISG15	4	7	0	7	4	0	0	1	11	0	5	11	3	1	4
AGRN	5	10	1	9	6	0	0	2	13	0	8	11	4	2	5
RNF223	2	11	1	6	3	1	0	1	11	0	4	7	2	2	3
C1orf159	0	9	0	2	2	1	0	0	8	0	2	1	0	1	0
TNFRSF18	0	7	0	7	5	1	0	2	12	0	4	10	1	3	3
TNFRSF4	0	6	0	6	4	1	0	2	10	0	4	10	1	2	3
SDF4	0	5	0	5	3	1	0	2	9	0	5	10	1	2	3
B3GALT6	0	5	0	5	3	1	0	2	9	0	5	10	1	2	3
UBE2J2	1	5	0	2	0	2	0	0	8	0	5	4	2	0	1
ACAP3	1	6	0	0	0	1	0	3	7	0	3	3	1	1	0
PUSL1	1	6	0	0	0	1	0	3	7	0	3	3	1	1	0
CPSF3L	1	6	0	1	0	1	0	4	9	0	1	5	1	2	1
TAS1R3	2	7	1	2	1	2	1	4	10	0	2	7	2	3	2
DVL1	2	7	1	2	1	2	1	4	10	0	2	7	2	3	2
MXRA8	4	7	1	2	1	2	1	4	9	0	3	8	2	3	4
AURKAIP1	4	6	1	3	4	2	1	4	10	0	3	8	2	3	4
CCNL2	4	7	1	4	4	2	1	1	12	0	3	9	2	2	4
MRPL20	4	6	1	4	4	2	1	1	11	0	3	9	2	2	4
ANKRD65	4	7	1	5	5	2	1	0	11	0	4	8	2	2	4
VWA1	3	6	0	3	4	2	0	0	9	0	3	4	1	0	2
ATAD3B	1	5	0	4	5	2	1	0	6	0	2	2	1	0	0
ATAD3A	1	4	0	3	3	2	1	0	3	0	2	1	1	0	0
TMEM240	1	3	0	2	2	1	1	0	2	0	2	1	2	0	0
SSU72	0	2	0	0	0	0	0	0	2	0	2	3	3	0	0
C1orf233	0	3	0	0	0	0	0	0	3	0	2	4	4	0	1
MIB2	0	4	0	1	0	0	0	0	4	0	2	4	4	0	1
MMP23B	2	5	2	3	2	0	1	1	6	0	1	7	3	0	1
CDK11A	2	5	2	2	2	1	1	2	4	0	2	4	2	0	1
SLC35E2	1	5	1	5	4	1	0	3	6	0	3	4	2	1	1
NADK	2	4	1	6	6	1	0	3	6	0	2	5	2	1	1
GNB1	0	5	0	5	2	1	0	4	3	0	1	5	2	4	3
TMEM52	0	5	0	4	0	1	0	3	3	0	1	3	2	4	3
PRKCZ	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SKI	2	5	2	1	1	0	0	0	4	0	4	3	0	0	0
MORN1	0	4	0	0	0	1	0	3	2	0	1	6	2	2	1
RER1	0	4	0	0	0	1	0	3	2	0	1	6	2	2	1
PEX10	0	4	0	0	0	1	0	1	2	0	1	6	2	1	1
PLCH2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
PANK4	3	9	2	8	4	0	0	0	5	0	3	6	1	0	1
HES5	3	10	3	11	5	1	0	0	6	0	4	7	2	0	2
TNFRSF14	3	12	3	12	8	2	0	0	10	0	4	7	2	0	2
FAM213B	1	11	3	11	8	2	0	0	9	0	4	6	1	0	2
PRDM16	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ARHGEF16	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
MEGF6	3	5	2	3	2	2	0	5	5	0	6	3	0	3	2
TPRG1L	5	8	4	8	7	2	0	6	10	0	8	7	0	5	4
WRAP73	6	11	5	11	10	2	0	7	12	0	5	10	0	6	5
TP73	6	11	5	11	10	2	0	7	12	0	5	10	0	6	5
LRRC47	1	2	1	2	2	0	0	1	6	0	4	6	0	2	0
CEP104	1	3	0	1	1	1	0	0	1	0	2	5	5	0	1
DFFB	1	3	0	1	1	1	0	0	1	0	2	5	5	0	1
C1orf174	1	3	0	1	1	1	0	0	1	0	2	4	5	0	1
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	1	4	1	5	2	1	0	4	8	0	2	8	0	2	0
NPHP4	1	4	1	5	2	1	0	4	8	0	2	8	0	2	0
RPL22	0	4	0	5	3	0	0	2	2	0	2	7	0	5	0
RNF207	0	4	0	5	3	0	0	2	2	0	2	7	0	5	0
ICMT	0	4	0	5	3	0	0	0	2	0	2	7	0	5	0
HES3	1	4	1	7	5	0	0	0	3	0	2	9	0	5	1
GPR153	1	2	1	3	2	0	0	0	1	0	1	7	0	2	1
ACOT7	0	4	0	4	2	0	0	0	7	1	2	5	1	0	2
HES2	0	3	0	2	1	0	0	0	6	1	1	3	1	0	2
ESPN	0	3	0	2	1	0	0	0	6	1	1	3	1	0	2
TNFRSF25	0	3	0	0	0	0	0	0	4	1	0	0	0	0	2
PLEKHG5	1	2	0	2	0	0	1	0	1	0	1	0	1	0	1
NOL9	1	6	0	5	0	0	1	0	4	0	2	0	1	0	1
ZBTB48	1	8	0	6	0	0	1	0	6	0	3	2	1	0	0
KLHL21	1	8	0	6	0	0	1	0	6	0	3	3	1	0	0
PHF13	0	7	0	4	0	0	0	0	5	0	2	3	0	0	0
THAP3	0	7	0	4	0	0	0	0	5	0	2	3	0	0	0
DNAJC11	0	1	0	1	0	1	0	1	2	0	0	5	1	0	0
CAMTA1	2	3	0	2	1	1	0	1	2	1	3	5	1	0	2
VAMP3	0	2	0	0	0	0	0	0	2	0	1	1	0	0	1
UTS2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
TNFRSF9	2	6	0	4	1	3	0	1	3	0	4	9	1	2	0
PARK7	3	6	1	4	2	3	0	2	4	0	4	10	1	2	0
ERRFI1	1	3	3	1	1	0	0	1	2	0	0	4	0	0	0
SLC45A1	1	0	0	1	2	0	0	1	1	0	1	2	0	0	1
RERE	0	1	0	3	1	0	0	0	2	0	1	6	0	0	1
ENO1	0	1	0	5	4	1	1	2	1	1	5	5	1	0	3
CA6	1	0	0	0	1	0	0	0	0	0	3	4	0	0	0
SLC2A5	6	5	4	10	12	0	0	2	4	0	7	10	0	3	4
GPR157	5	5	2	12	11	0	0	1	9	0	4	13	0	2	3
H6PD	3	4	1	10	4	0	1	0	6	0	1	10	1	0	1
SPSB1	1	0	0	3	2	0	0	2	3	0	1	5	0	0	2
SLC25A33	1	1	0	0	0	0	0	0	8	0	1	4	0	0	2
TMEM201	5	5	4	10	6	0	1	1	9	0	6	7	1	3	2
PIK3CD	4	7	5	17	12	0	1	2	11	0	7	15	1	5	1
CLSTN1	0	2	0	4	1	0	0	0	1	0	4	5	0	0	0
CTNNBIP1	3	5	0	5	2	2	1	2	5	0	3	12	2	0	0
NMNAT1	3	5	0	4	2	2	1	2	5	0	4	10	2	0	0
LZIC	3	5	0	4	2	2	1	2	5	0	4	10	2	0	0
RBP7	2	3	0	1	1	1	0	2	2	0	2	4	1	1	1
UBE4B	2	1	0	1	2	1	0	0	2	0	1	5	1	1	1
KIF1B	0	1	0	7	6	1	0	0	6	0	2	6	0	0	1
PGD	2	3	0	0	1	1	0	2	3	0	3	6	2	2	1
APITD1	4	5	0	0	1	2	1	2	5	0	4	7	3	2	1
APITD1-CORT	4	5	0	0	1	2	1	2	5	0	4	7	3	2	1
DFFA	5	5	1	6	3	1	1	3	6	0	6	8	3	1	0
PEX14	5	5	1	6	3	1	1	3	6	0	6	8	3	1	0
CASZ1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
TARDBP	6	4	3	10	6	2	3	5	8	0	5	6	3	2	5
SRM	3	4	1	4	1	2	4	2	4	0	3	4	4	1	2
EXOSC10	1	3	1	3	1	1	2	2	3	0	1	2	3	1	2
ANGPTL7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MTOR	0	3	1	0	0	2	0	0	1	0	1	4	2	0	2
UBIAD1	0	3	1	0	0	2	0	0	2	0	1	4	2	0	2
FBXO44	1	2	1	1	1	0	1	1	3	0	1	2	0	2	1
FBXO2	1	2	1	1	1	0	1	1	3	0	1	2	0	2	1
FBXO6	1	2	1	1	1	0	1	1	4	0	1	2	0	2	1
MAD2L2	1	5	1	3	3	0	1	1	5	0	1	5	0	2	1
