CTCF	EP300	GABPA	MAFK	NFE2L2	REST
SAMD11	9	2	7	0	0	1
NOC2L	9	2	6	0	0	1
KLHL17	9	2	6	0	0	1
PLEKHN1	10	3	7	0	0	1
HES4	9	3	7	0	0	1
ISG15	8	3	7	0	0	1
AGRN	8	3	7	0	0	1
RNF223	6	3	5	0	0	1
C1orf159	2	2	2	0	0	0
TNFRSF18	9	0	1	0	0	1
TNFRSF4	9	0	2	0	0	1
SDF4	8	0	3	0	1	1
B3GALT6	8	0	3	0	1	1
UBE2J2	10	0	4	0	1	2
ACAP3	12	1	7	0	2	2
PUSL1	12	1	7	0	2	2
CPSF3L	12	1	7	0	2	2
TAS1R3	12	1	7	0	2	2
DVL1	13	1	7	0	2	2
MXRA8	13	1	7	0	2	2
AURKAIP1	12	1	7	0	2	3
CCNL2	10	1	7	0	2	3
MRPL20	6	1	7	0	2	2
ANKRD65	6	1	6	0	3	2
VWA1	6	1	5	0	2	1
ATAD3B	6	1	4	0	2	1
ATAD3A	5	0	1	1	1	1
TMEM240	6	0	3	1	1	2
SSU72	7	0	3	1	1	1
C1orf233	8	1	3	2	2	1
MIB2	7	1	3	2	1	1
MMP23B	7	1	4	2	1	1
CDK11A	5	2	3	1	2	2
SLC35E2	5	2	2	1	2	1
NADK	3	2	1	1	2	1
GNB1	7	0	2	1	0	1
TMEM52	6	0	2	2	0	1
PRKCZ	7	0	2	1	0	1
SKI	9	0	5	0	0	0
MORN1	7	0	1	0	0	3
RER1	7	0	1	0	0	3
PEX10	6	0	1	0	0	4
PLCH2	10	0	1	0	0	5
PANK4	6	0	0	0	0	6
HES5	6	0	0	0	0	6
TNFRSF14	5	0	1	0	0	6
FAM213B	5	0	1	0	0	3
PRDM16	2	0	0	0	0	0
ARHGEF16	11	1	1	0	0	2
MEGF6	10	1	3	0	0	0
TPRG1L	10	1	3	0	0	1
WRAP73	9	1	3	0	0	1
TP73	9	1	3	0	0	1
LRRC47	6	2	2	0	0	1
CEP104	6	3	1	0	0	0
DFFB	6	3	1	0	0	0
C1orf174	4	1	0	0	0	0
AJAP1	3	0	0	0	0	0
KCNAB2	8	0	1	1	1	1
NPHP4	8	0	1	1	1	1
RPL22	15	1	1	2	0	4
RNF207	13	1	1	1	0	4
ICMT	12	1	1	1	0	4
HES3	12	1	1	1	0	4
GPR153	14	0	1	1	0	3
ACOT7	15	1	2	1	1	1
HES2	15	1	2	1	1	1
ESPN	16	1	2	1	1	1
TNFRSF25	14	1	2	1	1	1
PLEKHG5	14	2	2	2	0	2
NOL9	14	2	2	2	0	1
ZBTB48	11	2	2	2	0	1
KLHL21	10	1	1	1	0	1
PHF13	10	1	1	1	0	1
THAP3	10	1	1	1	0	1
DNAJC11	8	5	1	2	1	0
CAMTA1	4	4	1	2	1	0
VAMP3	3	0	0	0	0	1
UTS2	3	0	0	0	0	0
TNFRSF9	7	6	2	2	2	0
PARK7	6	7	2	3	2	0
ERRFI1	5	13	3	4	3	0
SLC45A1	8	2	0	2	0	0
RERE	14	3	1	4	2	0
ENO1	10	2	1	4	2	0
CA6	14	2	1	4	2	0
SLC2A5	9	1	0	3	0	0
GPR157	7	1	0	4	0	1
H6PD	8	3	0	4	1	1
SPSB1	5	3	0	5	1	1
SLC25A33	9	0	0	4	0	1
TMEM201	7	0	0	3	0	1
PIK3CD	9	0	0	1	1	1
CLSTN1	8	0	0	0	0	0
CTNNBIP1	7	0	1	1	0	0
NMNAT1	9	0	1	1	0	0
LZIC	9	0	1	1	0	0
RBP7	6	0	1	1	0	0
UBE4B	5	0	1	1	0	0
KIF1B	2	0	0	1	0	0
PGD	5	0	0	4	3	0
APITD1	7	1	0	4	3	0
APITD1-CORT	7	1	0	4	3	0
DFFA	7	1	0	4	3	0
PEX14	7	1	0	4	3	0
CASZ1	3	0	0	1	0	0
TARDBP	6	0	1	2	0	1
SRM	4	0	1	2	0	1
EXOSC10	2	0	1	1	0	2
ANGPTL7	5	0	2	1	0	1
MTOR	7	0	2	1	0	1
UBIAD1	8	0	2	1	0	1
FBXO44	10	0	0	0	0	1
FBXO2	10	0	0	0	0	1
FBXO6	10	0	0	0	0	1
MAD2L2	10	1	0	0	0	1
DRAXIN	10	1	0	0	0	1
AGTRAP	9	1	3	0	0	1
C1orf167	9	1	3	0	0	2
CLCN6	10	1	3	0	0	3
MTHFR	10	1	3	0	0	3
KIAA2013	10	1	0	3	0	3
PLOD1	11	1	0	3	0	3
MFN2	8	1	0	4	0	1
