ARID3A	ARNT	ATF2	ATF3	ATF4	ATF7	BACH1	BHLHE40	BRCA1	CBX5	CDC5L	CEBPB	CREB3L1	CTCF	CUX1	E2F1	E2F7	E2F8	E4F1	EGR1	ELF1	ELF4	ELK1	EP300	ESRRA	ETV6	EWSR1	FOXA1	FOXM1	GABPA	GATA1	GATA2	GMEB1	HES1	HMBOX1	IKZF1	IRF1	KLF16	MAFF	MAFK	MAX	MEF2A	MEIS2	MGA	MNT	MYBL2	MYC	NFE2	NFIC	NR2C2	NR2F1	NR2F2	NR2F6	NR3C1	NRF1	PKNOX1	POU5F1	REST	RFX1	RFX5	RUNX1	SP1	SREBF1	STAT1	STAT5A	TAL1	TBP	TCF12	TCF7	TCF7L2	TEAD4	THRA	YY1	ZBTB7A	ZNF143	ZNF282	ZNF384
SAMD11	0	4	1	5	2	15	0	19	0	1	2	3	10	15	0	2	0	7	6	23	4	4	1	8	10	0	0	0	2	9	1	0	24	3	1	14	9	4	0	0	43	0	17	10	11	0	16	1	16	0	11	9	3	0	27	19	0	10	3	1	2	15	0	1	1	5	8	3	4	0	7	0	5	37	8	18	1
NOC2L	0	4	2	3	3	15	0	20	0	2	4	4	10	17	0	2	1	7	5	29	3	3	1	8	10	0	0	0	2	8	1	0	25	3	1	12	11	4	0	0	45	0	15	9	10	0	18	0	15	0	10	10	3	0	29	17	0	12	4	1	3	17	0	1	1	5	9	3	4	0	8	0	5	41	9	18	1
KLHL17	0	4	2	3	3	16	0	20	0	2	4	4	10	18	0	2	1	7	5	29	3	3	1	8	10	0	0	0	3	8	1	0	25	3	1	12	12	4	0	0	46	0	15	9	10	0	19	0	15	0	10	10	3	0	30	17	0	12	4	1	3	19	0	1	1	5	10	3	4	0	8	0	5	42	9	18	1
PLEKHN1	0	4	3	4	4	17	0	22	0	2	4	5	12	20	0	2	1	7	6	31	4	3	3	8	10	0	0	0	3	9	1	0	26	3	1	12	12	5	0	0	49	0	17	10	12	0	22	0	15	0	12	11	5	0	31	19	0	13	5	1	3	19	0	1	1	5	10	3	4	0	8	0	5	43	10	18	2
HES4	0	4	3	4	3	18	0	22	0	2	4	5	12	19	0	2	1	7	6	36	4	3	3	8	10	0	0	0	3	9	1	0	29	3	1	11	14	5	0	0	54	0	19	13	13	0	24	0	18	0	13	12	4	0	35	20	0	13	6	1	4	20	0	1	1	6	11	3	4	0	9	0	5	46	9	18	2
ISG15	0	4	3	4	3	18	0	21	0	4	4	5	12	17	0	3	1	9	8	34	4	3	3	8	10	0	0	0	3	10	1	0	28	3	3	11	13	6	0	0	54	0	19	14	13	0	23	1	18	0	13	10	4	0	32	19	0	12	6	1	4	19	0	1	1	5	10	3	4	0	9	0	6	44	8	18	2
AGRN	0	4	3	4	3	20	1	22	0	4	4	5	14	16	0	3	1	9	9	35	4	4	3	8	11	0	0	0	3	11	2	0	30	3	3	11	14	6	0	0	56	0	20	14	14	0	24	1	19	0	14	10	4	0	33	18	1	12	7	1	4	21	1	1	1	4	11	3	4	0	10	0	7	47	9	18	2
RNF223	0	4	3	4	5	21	1	16	0	4	4	5	14	12	0	3	1	7	9	30	5	4	2	8	15	0	0	0	2	8	3	0	19	2	3	12	13	5	0	0	50	0	15	16	10	0	21	1	13	0	18	9	5	0	23	16	1	12	8	1	2	16	2	2	1	5	9	3	5	0	8	1	4	42	6	9	4
C1orf159	0	0	3	3	5	18	2	11	0	4	3	3	8	8	0	2	1	3	8	33	5	4	2	6	9	0	0	0	1	9	2	0	18	1	2	9	10	4	0	0	42	0	10	16	6	0	17	3	10	0	12	4	4	0	19	11	1	9	8	0	4	11	2	1	1	4	6	3	1	0	7	1	2	41	5	5	5
TNFRSF18	0	0	2	4	3	16	3	9	0	4	1	2	6	11	0	1	0	3	10	19	5	7	1	6	12	0	0	0	0	9	2	0	15	1	2	8	9	2	0	1	39	0	4	15	6	0	10	4	11	0	12	2	3	0	16	7	3	13	4	0	3	8	2	1	1	2	9	1	1	0	7	1	6	42	4	3	4
TNFRSF4	1	0	2	4	3	18	3	12	0	2	1	3	6	11	0	0	0	1	8	23	7	8	2	6	12	0	0	0	0	9	3	0	18	1	0	8	10	1	0	1	40	0	5	13	9	0	12	3	11	0	11	2	3	0	15	5	3	12	4	0	3	9	2	1	1	2	9	1	1	0	7	1	5	46	6	4	4
SDF4	1	0	2	5	2	16	2	10	0	2	1	4	4	10	0	0	0	1	7	23	7	8	3	7	10	0	0	0	0	9	2	0	13	1	0	8	10	1	0	1	40	0	4	13	8	0	13	3	11	0	11	2	3	0	14	5	2	11	4	0	3	8	1	1	3	2	10	1	2	0	6	1	4	42	5	4	1
B3GALT6	1	0	2	5	2	16	2	10	0	2	1	4	4	10	0	0	0	1	7	23	7	8	3	7	10	0	0	0	0	9	2	0	13	1	0	8	10	1	0	1	40	0	4	13	8	0	13	3	11	0	11	2	3	0	14	5	2	11	4	0	3	8	1	1	3	2	10	1	2	0	6	1	4	42	5	4	1
UBE2J2	1	0	3	7	1	16	4	10	0	2	1	4	6	16	0	0	0	1	5	23	5	7	3	6	9	0	0	0	0	7	1	0	14	1	0	6	10	1	0	1	37	0	4	9	10	0	15	3	13	0	9	2	1	0	14	3	2	14	3	0	3	8	0	0	4	1	11	1	1	0	6	0	4	38	7	6	1
ACAP3	5	1	3	8	1	20	3	13	0	5	1	4	12	21	1	3	0	6	11	20	9	11	7	6	14	1	0	0	1	11	2	0	15	1	0	7	13	1	1	2	41	0	8	9	18	0	20	4	17	0	13	5	3	0	17	9	4	19	4	2	2	13	1	1	4	6	12	1	5	1	6	0	8	35	11	7	7
PUSL1	5	1	3	7	1	20	3	13	0	5	1	5	12	21	1	3	0	6	11	20	9	11	7	6	14	1	0	0	1	11	2	0	14	1	0	7	13	1	1	2	41	0	8	9	18	0	20	4	17	0	13	5	3	0	17	8	4	19	4	2	2	13	1	1	4	6	12	1	5	1	7	0	8	34	11	7	7
CPSF3L	5	1	3	7	1	20	3	13	0	6	1	5	12	21	1	3	0	6	12	18	10	11	7	6	14	3	0	0	1	11	2	0	13	1	0	8	13	0	1	2	38	0	8	9	18	0	20	3	16	0	13	5	3	0	17	8	4	20	4	2	1	13	1	2	5	6	12	1	5	1	7	0	8	33	11	7	6
TAS1R3	5	1	3	7	1	20	3	13	0	6	1	5	12	20	1	3	0	6	11	19	10	11	7	6	14	3	0	0	1	11	2	0	13	1	0	8	13	0	1	2	37	0	8	9	18	0	20	3	15	0	13	5	3	0	17	8	4	19	4	2	1	13	1	2	5	6	10	1	5	1	5	0	8	37	11	7	6
DVL1	5	1	3	7	1	22	3	15	0	6	1	5	12	22	1	3	1	5	9	20	10	10	7	7	14	3	0	0	1	11	2	0	15	1	0	10	13	0	1	2	37	0	7	6	20	0	23	4	16	0	12	5	3	0	16	8	2	20	4	2	1	13	1	2	5	7	10	1	5	1	6	0	7	33	12	8	8
MXRA8	5	1	3	7	1	22	3	15	0	6	1	4	12	22	1	3	1	5	9	20	10	10	7	7	14	3	0	0	1	11	2	0	15	1	0	10	13	0	1	2	37	0	7	7	20	0	23	4	16	0	12	5	3	0	16	8	2	19	4	2	1	13	1	2	5	7	10	1	5	1	6	0	7	33	12	8	8
AURKAIP1	5	1	4	7	1	23	3	16	0	6	1	5	13	21	1	4	2	6	9	20	10	12	6	7	15	3	0	0	1	11	2	0	14	1	1	10	13	1	1	2	37	0	8	8	21	0	22	7	17	0	10	5	3	0	16	8	2	21	5	2	2	15	1	2	5	7	8	1	5	1	6	0	7	34	11	8	8
CCNL2	5	1	4	7	1	22	3	15	0	7	4	5	13	18	1	4	2	6	9	20	10	12	6	7	15	3	0	0	1	11	2	0	14	1	1	10	11	1	1	2	32	0	8	8	21	0	22	7	16	0	11	5	4	0	14	7	2	18	6	2	2	13	1	2	5	7	8	1	5	1	6	0	5	33	10	8	8
MRPL20	5	1	3	6	1	22	2	14	0	6	4	5	13	15	1	5	2	7	10	19	10	12	6	7	15	3	0	0	1	10	2	0	14	2	1	10	9	1	1	1	29	0	9	9	21	0	20	6	15	0	12	5	4	2	11	9	2	16	6	2	2	12	1	2	5	7	7	1	5	1	6	0	5	30	10	8	8
ANKRD65	4	2	4	5	1	21	2	11	0	6	6	3	13	16	1	7	3	9	12	16	10	12	6	5	16	3	0	0	3	10	1	0	13	3	2	11	9	2	1	2	24	0	8	12	19	1	19	7	14	0	14	5	5	2	11	9	3	17	6	3	3	12	2	2	5	9	8	1	6	1	6	0	5	28	8	7	8
VWA1	4	2	4	5	1	20	2	11	0	6	6	3	13	16	1	7	3	9	12	15	10	11	5	5	15	3	0	0	3	9	1	0	11	3	2	11	8	2	1	2	21	0	7	12	17	1	18	7	14	0	15	5	5	2	10	10	3	16	7	3	3	11	2	2	3	9	6	1	5	1	6	0	5	27	8	7	8
ATAD3B	4	2	3	4	1	17	1	10	0	6	6	4	10	13	1	7	3	10	12	12	10	11	5	4	14	3	0	0	3	9	1	0	11	3	2	9	6	2	1	2	20	0	8	10	16	1	12	7	13	0	14	5	6	2	8	11	3	14	7	3	3	9	2	2	1	9	4	1	5	1	6	0	5	21	7	5	8
ATAD3A	0	1	5	4	1	11	1	10	0	3	5	3	6	8	0	7	3	6	5	11	8	6	3	3	12	2	0	0	2	4	0	0	13	2	3	7	4	2	1	2	18	0	7	9	12	1	11	6	10	0	9	3	4	2	6	7	2	10	7	2	3	5	2	1	1	3	4	0	2	1	5	0	2	18	1	3	5
TMEM240	0	1	5	4	2	10	1	12	0	3	5	4	8	8	0	8	3	7	7	10	8	7	4	4	13	0	0	0	2	4	0	0	14	2	3	4	5	2	1	2	19	0	8	9	12	1	12	5	12	0	8	2	3	2	5	9	3	10	8	3	3	6	3	0	0	3	5	1	2	1	5	0	2	10	3	2	5
SSU72	0	1	5	5	3	10	1	9	0	3	5	3	6	8	0	8	1	7	8	9	9	6	4	4	11	0	0	0	2	4	0	0	12	2	2	4	5	1	2	2	18	0	8	10	10	1	11	3	9	0	10	2	3	2	5	9	4	7	7	3	2	5	3	0	0	3	5	2	2	1	5	0	1	7	2	3	4
C1orf233	0	1	5	6	4	11	2	10	0	2	3	3	8	9	0	9	2	7	8	9	10	6	4	4	13	0	0	0	2	4	0	0	14	2	2	4	5	1	3	3	20	0	9	11	11	1	11	4	9	0	11	3	2	2	7	10	4	8	6	3	2	7	4	0	0	3	5	3	2	2	5	0	1	7	2	3	6
MIB2	0	0	4	5	4	7	2	8	0	2	3	3	7	7	0	6	1	4	5	7	7	4	3	4	10	0	0	0	0	3	0	0	11	0	1	2	4	0	3	2	17	0	7	8	8	0	9	3	6	0	8	3	1	0	6	8	3	5	5	2	1	6	3	0	0	1	4	3	1	2	4	0	1	5	2	2	6
MMP23B	0	0	5	6	5	9	2	8	0	3	1	4	9	8	0	7	1	5	6	7	8	5	3	5	11	0	0	0	0	4	0	0	12	0	1	2	5	0	3	3	18	0	8	10	10	0	10	4	6	0	9	4	2	0	7	9	3	5	4	3	1	7	3	0	0	1	5	3	1	2	4	0	1	5	2	2	6
CDK11A	0	1	2	4	5	12	2	6	0	3	1	3	10	7	0	4	2	3	7	12	6	5	0	4	9	0	0	0	2	3	0	0	11	0	0	2	2	0	4	5	12	0	6	15	12	0	9	6	8	0	11	3	3	0	15	10	1	8	0	1	1	6	3	0	0	1	3	3	2	3	4	0	1	5	1	7	5
SLC35E2	0	1	2	5	7	12	2	6	0	3	1	3	10	7	0	4	2	3	7	13	6	5	0	4	9	0	0	0	2	3	0	0	11	0	0	2	2	0	4	5	13	0	6	15	12	0	9	6	8	0	11	3	3	0	15	10	1	8	0	1	1	6	3	0	0	1	3	3	2	3	4	0	1	5	1	7	5
NADK	1	1	2	5	7	10	2	6	0	3	1	5	9	7	0	4	2	2	8	12	5	4	0	4	8	0	0	0	2	3	2	0	10	0	1	5	1	0	4	6	12	1	6	12	11	0	8	5	10	0	12	2	7	0	15	10	0	8	0	1	1	5	3	0	0	2	3	4	4	3	6	0	1	5	1	6	4
GNB1	1	2	3	7	6	13	2	9	0	0	0	7	5	11	0	3	0	0	5	12	3	2	0	5	10	3	0	0	1	4	3	1	9	2	4	5	5	5	4	4	21	1	8	12	9	0	11	6	14	0	12	4	7	0	10	8	1	8	2	0	3	3	0	0	0	3	6	4	4	1	8	0	1	10	5	7	4
TMEM52	1	2	4	11	8	17	1	10	0	0	0	10	5	10	0	4	0	0	8	14	4	3	0	5	12	3	0	0	1	4	3	1	9	2	4	6	5	5	4	4	22	1	9	17	9	0	14	5	15	0	15	4	7	0	12	9	1	8	4	0	4	5	1	0	0	3	6	4	4	2	8	0	1	10	5	7	4
PRKCZ	0	0	4	7	4	9	1	8	0	1	1	6	0	15	0	7	1	0	3	11	3	2	0	0	9	1	0	0	0	3	0	0	2	1	2	3	2	3	2	1	19	0	5	10	5	0	10	2	8	0	11	0	2	0	10	8	0	10	4	0	1	3	1	0	0	0	3	1	2	1	2	0	0	9	6	0	2
SKI	0	4	6	8	5	16	0	18	0	2	2	6	12	15	0	9	0	3	6	22	7	4	1	4	10	1	0	0	1	9	1	0	21	1	0	7	11	3	0	2	38	0	6	18	19	0	17	4	14	0	9	8	2	2	17	13	1	13	5	1	3	9	0	1	2	3	13	2	0	0	8	0	3	23	6	7	2
MORN1	0	0	1	0	0	2	0	5	0	2	1	1	3	7	0	2	0	2	1	12	1	1	1	1	3	0	0	0	1	2	0	0	2	0	0	3	3	2	0	0	17	0	2	3	5	0	6	0	4	0	0	1	1	0	7	3	0	8	3	1	0	6	1	0	0	1	2	1	0	0	0	0	2	10	4	6	1
RER1	0	0	1	0	0	2	0	5	0	2	1	1	3	7	0	2	0	2	1	12	1	1	1	1	3	0	0	0	1	2	0	0	2	0	0	3	3	2	0	0	17	0	2	3	5	0	6	0	4	0	0	1	1	0	7	3	0	8	3	1	0	6	1	0	0	1	2	1	0	0	0	0	2	10	4	6	1
PEX10	0	0	1	0	0	2	0	5	0	2	1	2	3	6	0	2	0	2	1	12	1	1	1	1	3	0	0	0	1	2	0	0	2	0	0	3	3	2	0	0	17	0	2	3	4	0	5	0	3	0	1	1	1	0	7	3	0	8	3	1	0	6	1	0	0	1	2	1	0	0	0	0	2	9	4	6	1
PLCH2	0	0	1	0	3	7	0	10	0	2	0	4	8	13	0	2	0	2	5	18	7	3	3	1	8	0	0	0	2	4	0	0	8	0	0	2	7	3	0	0	30	0	4	9	10	0	13	0	14	0	2	4	1	0	17	5	1	15	4	1	0	9	2	3	0	3	8	1	1	0	3	0	3	17	13	10	4
PANK4	0	0	0	0	3	8	0	9	0	2	0	3	5	12	0	0	1	1	4	15	6	4	2	1	9	0	0	0	3	3	1	1	7	0	0	3	8	2	1	0	26	0	4	10	9	0	11	0	16	0	3	6	1	0	18	5	1	15	3	0	1	7	1	4	1	4	8	3	1	0	4	0	2	14	12	6	3
