ARNT	ATF3	ATF7	BHLHE40	BRCA1	CDC5L	FOXA1	IKZF1	KLF16	MAFK	MGA	MNT	NFIC	NRF1	PKNOX1	REST	STAT5A	TAL1	TCF12	TEAD4	THRA
SAMD11	0	0	5	10	0	0	0	3	1	0	5	3	9	18	8	4	1	0	0	3	0
NOC2L	2	3	9	14	0	2	0	4	3	0	7	4	11	19	11	6	1	0	1	4	0
KLHL17	2	3	9	14	0	2	0	4	3	0	7	4	11	19	11	6	1	0	1	4	0
PLEKHN1	4	3	10	14	0	2	0	5	3	0	7	6	12	18	11	5	1	1	1	5	0
HES4	4	3	13	12	0	3	0	5	2	0	6	7	6	13	10	7	0	1	1	6	0
ISG15	4	3	12	10	0	4	0	6	2	0	5	7	6	14	9	7	0	2	2	5	0
AGRN	4	4	13	11	0	4	0	7	4	0	6	8	6	15	11	8	0	2	3	6	0
RNF223	0	1	10	8	0	2	0	6	3	0	7	5	6	15	7	7	0	1	2	4	0
C1orf159	0	0	9	5	0	0	0	7	2	0	11	3	7	10	5	4	1	0	0	3	1
TNFRSF18	0	2	6	3	0	1	0	4	1	0	6	2	5	6	1	3	0	1	1	5	0
TNFRSF4	0	2	4	2	0	1	0	2	1	0	6	2	4	4	1	3	0	1	1	5	0
SDF4	0	2	5	2	0	0	0	2	1	0	5	2	4	5	2	3	0	1	1	5	0
B3GALT6	0	2	5	2	0	0	0	2	1	0	5	2	4	5	2	4	0	1	1	5	0
UBE2J2	0	3	8	8	0	0	0	2	0	1	4	4	8	10	2	10	0	0	0	4	0
ACAP3	0	4	9	8	0	0	0	3	0	1	2	4	7	9	2	9	4	0	0	1	0
PUSL1	0	5	11	8	0	0	0	4	0	1	3	5	7	10	2	10	4	0	0	1	0
CPSF3L	0	5	11	8	0	0	0	5	0	1	3	5	9	9	1	11	4	0	0	1	0
TAS1R3	1	7	14	9	0	1	0	6	0	2	3	7	11	11	4	12	4	0	0	2	0
DVL1	1	7	13	8	0	1	0	8	0	2	3	9	11	9	4	10	4	0	1	2	0
MXRA8	1	5	12	5	0	1	0	9	0	1	5	10	9	7	6	9	4	0	1	3	0
AURKAIP1	1	4	11	5	0	1	0	11	0	1	5	10	8	6	6	10	5	0	1	3	0
CCNL2	1	3	14	7	0	1	0	14	0	1	4	9	9	7	6	11	1	0	1	5	0
MRPL20	1	3	13	7	0	1	0	13	0	1	4	9	9	7	6	10	1	0	1	5	0
ANKRD65	1	2	11	7	0	1	0	12	0	1	5	9	8	7	6	9	1	0	1	5	0
VWA1	0	0	9	7	0	3	0	9	1	0	5	8	6	5	4	9	1	0	1	4	0
