File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF027BOY	fastq	reads	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1	1	100		paired-ended	1	ENCFF661STW		2468564863	Michael Snyder, Stanford	e3051987ca006d1352c986aca8d26ca1	SRA:SRR6213381	https://www.encodeproject.org/files/ENCFF027BOY/@@download/ENCFF027BOY.fastq.gz		Illumina HiSeq 4000	/files/ENCFF202OMW/	released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF661STW	fastq	reads	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1	1	100		paired-ended	2	ENCFF027BOY		3074211222	Michael Snyder, Stanford	55d5762a369b53f0d7d571bfb8d0b587	SRA:SRR6213381	https://www.encodeproject.org/files/ENCFF661STW/@@download/ENCFF661STW.fastq.gz		Illumina HiSeq 4000	/files/ENCFF349FFX/	released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF257GIX	fastq	reads	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2	1	100		paired-ended	2	ENCFF296PDU		3822066826	Michael Snyder, Stanford	b16c3749b313b5d978cc2f092f4dd964	SRA:SRR6213382	https://www.encodeproject.org/files/ENCFF257GIX/@@download/ENCFF257GIX.fastq.gz		Illumina HiSeq 4000	/files/ENCFF647DBV/	released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF296PDU	fastq	reads	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2	1	100		paired-ended	1	ENCFF257GIX		3183953691	Michael Snyder, Stanford	602e88e89d438e125d2ffc9f101bb225	SRA:SRR6213382	https://www.encodeproject.org/files/ENCFF296PDU/@@download/ENCFF296PDU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF829GAK/	released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF685HCB	bam	unfiltered alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1			100				ENCFF027BOY, ENCFF661STW, ENCFF807MUK	5446565398	ENCODE Processing Pipeline	46fd5491f392150e18d9334b2474e446		https://www.encodeproject.org/files/ENCFF685HCB/@@download/ENCFF685HCB.bam	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF780NKT	bam	unfiltered alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1			100				ENCFF027BOY, ENCFF643CGH, ENCFF661STW	5453679216	ENCODE Processing Pipeline	b965d562197b26deed07ca7c55e29aeb		https://www.encodeproject.org/files/ENCFF780NKT/@@download/ENCFF780NKT.bam	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF671NSO	bam	unfiltered alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2			100				ENCFF257GIX, ENCFF296PDU, ENCFF807MUK	6505038652	ENCODE Processing Pipeline	c98c8f34726b97adbec5712834be8361		https://www.encodeproject.org/files/ENCFF671NSO/@@download/ENCFF671NSO.bam	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF816IGR	bam	alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1			100				ENCFF027BOY, ENCFF661STW, ENCFF807MUK	4148906793	ENCODE Processing Pipeline	4dec1a2bd7ab69605a7db9c7eb8593b2		https://www.encodeproject.org/files/ENCFF816IGR/@@download/ENCFF816IGR.bam	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF215KGT	bam	alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2			100				ENCFF257GIX, ENCFF296PDU, ENCFF807MUK	4668376996	ENCODE Processing Pipeline	1ef598c20fc6d6e645a45679dac6f470		https://www.encodeproject.org/files/ENCFF215KGT/@@download/ENCFF215KGT.bam	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF703ZDY	bam	unfiltered alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2			100				ENCFF257GIX, ENCFF296PDU, ENCFF643CGH	6510596563	ENCODE Processing Pipeline	5384c63a973f000d92ec3f1a8dc9e94a		https://www.encodeproject.org/files/ENCFF703ZDY/@@download/ENCFF703ZDY.bam	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF427CQP	bam	alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1			100				ENCFF027BOY, ENCFF643CGH, ENCFF661STW	4154454376	ENCODE Processing Pipeline	4ff93ec818dabe34ad0a65d6632ff56a		https://www.encodeproject.org/files/ENCFF427CQP/@@download/ENCFF427CQP.bam	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF531RDZ	bam	alignments	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2			100				ENCFF257GIX, ENCFF296PDU, ENCFF643CGH	4674488662	ENCODE Processing Pipeline	47d2ee4068cd054db83e23af655d00bc		https://www.encodeproject.org/files/ENCFF531RDZ/@@download/ENCFF531RDZ.bam	GRCh38			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF925ZAR	bigWig	signal p-value	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF215KGT, ENCFF592WAL	1214969645	ENCODE Processing Pipeline	83857aa6fb9fc606635a5b2c391b7fcd		https://www.encodeproject.org/files/ENCFF925ZAR/@@download/ENCFF925ZAR.bigWig	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF929QGK	bigWig	signal p-value	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF215KGT, ENCFF592WAL, ENCFF816IGR, ENCFF901CND	2086094911	ENCODE Processing Pipeline	78e7fa751c69e509b98a49e3e536909a		https://www.encodeproject.org/files/ENCFF929QGK/@@download/ENCFF929QGK.bigWig	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF651YYN	bigWig	fold change over control	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				2							ENCFF215KGT, ENCFF592WAL	1435024472	ENCODE Processing Pipeline	adc6e15a1f412b24b3c7cba39c994e61		https://www.encodeproject.org/files/ENCFF651YYN/@@download/ENCFF651YYN.bigWig	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF308RFY	bed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF816IGR, ENCFF901CND	5961135	ENCODE Processing Pipeline	81d93d6c05d0232c271be38ec82ff8fa		https://www.encodeproject.org/files/ENCFF308RFY/@@download/ENCFF308RFY.bed.gz	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF649MUM	bigBed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF308RFY	11444248	ENCODE Processing Pipeline	24e9af358ec61fdc829a78d4d2161653		https://www.encodeproject.org/files/ENCFF649MUM/@@download/ENCFF649MUM.bigBed	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF747IZZ	bed narrowPeak	conservative idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF001TDO, ENCFF082QVO, ENCFF222GJV, ENCFF308RFY	23586	ENCODE Processing Pipeline	5a2b0ca2ff771fe2ac4eba74d772cf86		https://www.encodeproject.org/files/ENCFF747IZZ/@@download/ENCFF747IZZ.bed.gz	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF896UQP	bigWig	signal p-value	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1							ENCFF816IGR, ENCFF901CND	1227234780	ENCODE Processing Pipeline	8bac748131d1430ae7e1a40a54d8f0ef		https://www.encodeproject.org/files/ENCFF896UQP/@@download/ENCFF896UQP.bigWig	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF015YHT	bed narrowPeak	optimal idr thresholded peaks	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF001TDO, ENCFF082QVO, ENCFF222GJV, ENCFF308RFY	53338	ENCODE Processing Pipeline	a8cfce2cd4f95a90ebe3f1b1704ea0a7		https://www.encodeproject.org/files/ENCFF015YHT/@@download/ENCFF015YHT.bed.gz	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
ENCFF082QVO	bed narrowPeak	peaks and background as input for IDR	ENCSR342THD	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens				BCLAF1-human	DNA					False	2017-04-14	ENCODE				1, 2							ENCFF215KGT, ENCFF592WAL, ENCFF816IGR, ENCFF901CND	7109524	ENCODE Processing Pipeline	f861d40af9b09d59255a3cd412273cbe		https://www.encodeproject.org/files/ENCFF082QVO/@@download/ENCFF082QVO.bed.gz	hg19			released		moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption, borderline replicate concordance			
