gene	gm12878	hela	huvec	nhek	k562
LOXL4	0	2	2	0	0
PYROXD2	2	1	2	2	2
HPS1	2	1	1	1	2
HPSE2	0	0	0	0	1
CNNM1	0	0	0	2	1
GOT1	1	2	1	2	1
NKX2-3	2	2	2	2	2
SLC25A28	1	1	2	1	1
ENTPD7	1	1	2	1	1
COX15;CUTC	1	1	1	1	1
ABCC2	1	1	1	1	0
DNMBP	1	1	1	1	1
ERLIN1	1	1	1	1	1
CHUK	1	1	1	1	1
CWF19L1	1	1	1	2	1
BLOC1S2	1	1	1	2	1
SCD	1	1	1	2	1
SEC31B	2	1	1	2	1
NDUFB8	2	1	1	2	1
HIF1AN	1	1	1	2	1
PAX2	2	1	2	2	2
SEMA4G	2	2	2	2	1
MRPL43	2	2	2	2	1
LZTS2	1	2	2	2	1
PDZD7;SFXN3	2	1	2	2	1
KAZALD1	2	2	2	0	2
TLX1	0	1	0	0	1
GTPBP4	2	2	1	1	2
BTRC	1	1	2	1	1
DPCD;POLL	1	1	1	1	1
FBXW4	1	1	1	1	1
NPM3	1	1	1	1	1
MGEA5	1	1	1	1	1
KCNIP2	1	0	1	1	0
C10orf76	1	1	1	1	1
HPS6	1	1	1	1	1
LDB1	1	1	1	1	1
PPRC1	1	1	1	1	1
NOLC1	1	1	1	1	1
GBF1;PITX3	1	1	1	1	1
NFKB2	1	1	1	1	1
FBXL15;PSD	1	1	1	1	1
CUEDC2	1	1	1	1	1
C10orf95	1	1	0	1	1
ACTR1A;SUFU	1	1	1	1	1
TRIM8	1	1	1	1	1
ARL3;SFXN2	1	1	1	1	1
WBP1L	1	1	1	1	1
AS3MT	1	1	1	1	1
CNNM2	1	1	1	1	1
NT5C2	1	1	1	1	1
CELF2	2	2	1	2	2
INA	1	1	1	1	1
PCGF6	1	1	1	1	1
TAF5	1	1	1	1	1
PDCD11;USMG5	1	1	1	1	1
CALHM2	1	1	1	1	2
NEURL1	0	0	1	1	1
SH3PXD2A	1	1	1	2	1
OBFC1	1	1	1	1	1
SLK	1	1	1	1	1
COL17A1	0	1	0	1	0
SFR1	1	1	1	1	1
GSTO1	1	1	1	1	1
GSTO2	1	1	1	1	1
ITPRIP	2	1	1	1	1
SORCS1	1	0	0	0	2
IDI1;WDR37	2	1	1	1	2
XPNPEP1	1	1	1	1	1
ADD3	1	1	1	1	1
MXI1	1	1	1	1	1
SMNDC1	1	1	1	1	1
DUSP5	1	1	1	1	1
SMC3	1	1	1	1	1
RBM20	1	1	1	0	1
PDCD4	1	1	1	1	1
BBIP1;SHOC2	1	1	1	1	1
ADRA2A	0	0	0	0	1
GPAM	2	2	1	2	2
ACSL5	1	1	1	1	2
VTI1A;ZDHHC6	2	2	2	2	2
TCF7L2	1	1	1	1	1
CASP7	1	2	1	1	1
DCLRE1A;NHLRC2	1	2	1	2	1
ADRB1	2	2	1	1	2
TDRD1	0	0	1	1	0
VWA2	0	0	0	1	1
AFAP1L2	2	0	1	1	2
USP6NL	1	1	2	1	1
ABLIM1	1	1	1	1	1
FAM160B1	1	2	1	1	1
TRUB1	1	1	1	1	1
ECHDC3	1	1	2	1	2
GFRA1	0	0	1	0	0
PNLIPRP3	0	0	0	1	0
HSPA12A	0	2	0	1	2
PROSER2	1	1	2	1	2
ENO4	2	0	1	1	0
VAX1	2	2	2	1	2
SLC18A2	0	0	1	0	2
PDZD8	2	1	1	1	2
EMX2	2	2	2	1	2
RAB11FIP2	2	2	2	2	2
FAM204A	2	2	1	2	2
CACUL1	2	1	1	2	2
NANOS1	1	1	1	2	1
UPF2	1	1	2	1	2
EIF3A	1	1	1	1	1
FAM45A	1	1	1	1	1
SFXN4	1	1	1	2	1
PRDX3	1	1	1	2	1
GRK5	1	1	1	1	2
DHTKD1	1	1	2	1	2
RGS10	1	1	1	1	1
TIAL1	1	1	1	1	1
BAG3	1	1	1	1	1
INPP5F	1	1	1	2	1
MCMBP	1	1	1	2	1
SEC23IP	1	1	1	2	1
SEC61A2	1	1	2	1	2
CDC123;NUDT5	1	1	2	1	2
WDR11	2	1	1	1	1
FGFR2	2	2	2	2	1
ATE1	2	1	1	1	1
NSMCE4A	2	1	1	1	1
TACC2	2	1	1	2	1
CAMK1D	1	1	2	1	2
PLEKHA1	2	1	1	1	1
HTRA1	0	1	1	1	0
DMBT1	0	1	0	0	0
CUZD1	0	0	1	2	2
FAM24B	0	0	1	2	2
C10orf88	2	1	1	2	1
PSTK	2	2	1	2	1
ACADSB;IKZF5	1	1	1	2	1
HMX3	2	1	2	2	1
HMX2	2	2	2	2	2
BUB3	2	1	1	1	1
CPXM2	0	1	2	0	1
CHST15	1	1	1	1	0
OAT	1	1	2	1	1
NKX1-2	2	2	2	1	2
LHPP	1	1	2	1	1
FAM53B	1	1	2	1	1
METTL10	1	1	1	1	1
FAM175B	1	1	2	1	1
CTBP2	0	1	1	1	1
EDRF1	2	2	2	2	1
BCCIP;UROS	2	2	1	2	1
DHX32	2	1	1	1	1
FANK1	2	2	1	1	1
ADAM12	0	2	0	0	1
C10orf90	0	2	0	0	0
DOCK1	0	1	1	2	1
CLRN3	2	0	0	0	0
PTPRE	1	1	1	2	1
MKI67	1	1	2	2	1
MGMT	2	1	1	1	1
OPTN;CCDC3	1	1	1	1	2
GLRX3	1	1	2	1	1
MCM10	2	1	1	2	2
PHYH	1	1	1	2	1
BNIP3	2	1	1	1	1
SEPHS1	1	2	1	1	1
DPYSL4	0	0	1	1	1
LRRC27;STK32C	2	1	1	1	1
PWWP2B	2	1	1	1	1
C10orf91	0	1	0	0	0
INPP5A	1	1	1	1	1
NKX6-2	1	2	2	2	2
KNDC1	0	1	1	1	1
UTF1	0	0	0	0	1
VENTX	2	2	2	2	1
ADAM8	1	0	0	1	1
TUBGCP2;ZNF511	1	1	1	1	1
CALY	1	0	0	0	1
PRAP1	1	0	1	0	0
FUOM	1	1	1	1	1
ECHS1	1	1	1	1	1
PAOX	1	1	1	1	1
MTG1	1	1	1	1	1
SYCE1	0	0	1	2	0
PRPF18	1	1	1	1	1
FRMD4A	1	2	1	0	0
FAM107B	1	1	1	1	2
CDNF	1	1	1	1	1
HSPA14	1	1	1	1	1
SUV39H2	1	1	1	1	1
DCLRE1C	1	1	1	1	1
MEIG1	1	1	1	1	2
OLAH	1	0	1	1	0
ACBD7;RPP38	1	2	1	1	1
NMT2	2	2	1	1	1
FAM171A1	2	2	1	1	1
ITGA8	0	0	1	0	0
FAM188A	2	1	1	1	2
PTER	2	1	2	1	2
C1QL3	0	2	2	0	0
RSU1	1	1	1	1	1
TRDMT1	1	1	1	1	1
VIM	1	1	1	1	1
ST8SIA6	0	1	1	0	1
STAM	1	1	1	1	1
ADARB2	2	0	0	0	0
ZMYND11	2	2	1	1	2
SLC39A12	0	0	0	0	2
CACNB2	2	2	0	0	0
ARL5B;NSUN6	2	2	2	1	2
MALRD1	1	0	2	0	2
PLXDC2	2	1	2	1	2
NEBL	2	1	0	1	1
CASC10	1	1	1	1	1
MLLT10	1	1	1	1	1
DNAJC1	1	1	1	1	1
COMMD3	1	1	1	2	2
BMI1	1	1	1	2	2
SPAG6	0	0	1	2	1
PIP4K2A	1	1	1	2	2
ARMC3	0	0	0	0	2
MSRB2	1	1	1	2	1
PTF1A	2	2	2	2	2
OTUD1	2	1	2	1	1
KIAA1217	2	2	1	1	0
ARHGAP21	2	1	1	1	1
PRTFDC1	2	1	1	1	1
THNSL1	2	1	1	1	1
ENKUR	0	1	0	0	0
MYO3A	0	0	0	1	0
GAD2	1	0	0	0	0
APBB1IP	1	1	0	0	2
PDSS1	1	1	1	1	1
ABI1	1	1	1	1	1
ANKRD26	1	1	1	1	1
MASTL;YME1L1	1	1	1	1	1
ACBD5	1	1	1	1	1
RAB18	2	1	1	1	1
MKX	0	1	0	0	0
ARMC4	0	1	1	1	2
MPP7	1	1	1	1	2
WAC	1	1	1	1	2
BAMBI	1	2	1	1	2
SVIL	1	1	1	1	1
KIAA1462	0	1	1	2	2
MTPAP	1	1	2	1	1
MAP3K8	1	1	2	1	1
PFKP	2	1	1	2	2
ZNF438	1	1	1	2	2
ZEB1	1	1	1	2	1
PITRM1	2	1	1	2	2
ARHGAP12	1	1	1	2	1
KIF5B	1	1	1	1	1
EPC1	2	1	1	2	1
CCDC7	2	2	2	2	1
ITGB1	1	1	1	1	1
NRP1	2	1	2	1	2
PARD3	2	1	2	1	2
CUL2	2	1	1	1	2
CREM	1	1	1	1	1
CCNY	1	1	2	2	1
FZD8	0	1	2	2	0
ZNF248	2	1	1	1	2
KLF6	1	1	1	1	2
ZNF25	2	1	2	2	2
ZNF33A	2	1	2	1	2
ZNF37A	2	1	2	2	2
ZNF33B	1	1	1	1	1
BMS1	2	1	1	1	1
RET	0	0	0	1	0
CSGALNACT2	1	1	1	1	1
RASGEF1A	0	0	1	1	0
FXYD4	0	1	0	0	2
HNRNPF	2	1	1	1	1
ZNF487	2	1	1	1	1
ZNF239	0	1	2	1	1
ZNF485	2	1	2	1	1
ZNF32	1	1	2	1	1
CXCL12	1	0	1	1	0
TMEM72	1	0	0	0	2
RASSF4	1	1	1	0	1
C10orf10	1	1	1	1	1
C10orf25;ZNF22	1	1	1	1	1
ALOX5	1	1	1	0	1
MARCH8	1	1	1	2	1
ZFAND4	1	1	1	0	1
FAM21C	1	1	1	2	1
SYT15	0	0	1	0	0
ZNF488	0	1	1	1	2
GDF2	0	0	0	0	1
GDF10	0	0	0	0	1
AKR1E2	0	2	1	1	2
FRMPD2	2	2	0	0	0
MAPK8	2	1	1	1	2
ARHGAP22	2	2	1	2	1
WDFY4	1	2	0	0	1
AKR1C1	1	1	1	1	1
LRRC18	0	0	0	0	1
VSTM4	1	0	1	0	1
C10orf128	1	0	2	0	1
C10orf71	0	0	0	0	1
AKR1C2	1	1	1	1	1
DRGX	2	2	2	2	2
PGBD3	1	1	2	1	1
ERCC6	1	1	2	2	1
OGDHL	2	1	1	2	1
TIMM23B	2	0	0	0	0
NCOA4	2	1	2	1	2
FAM21A	1	1	1	2	1
SGMS1	1	1	1	2	1
ASAH2B	1	1	2	2	1
PRKG1	2	0	1	0	0
CSTF2T	2	1	1	2	1
DKK1	1	1	2	2	2
TUBAL3	1	1	1	1	1
NET1	1	1	1	1	1
CALML5	0	0	0	1	0
CALML3	0	0	0	1	0
PCDH15	0	2	1	0	0
ASB13	1	1	1	1	1
FAM208B	1	1	1	1	1
MTRNR2L5	2	2	1	2	2
ZWINT	2	2	2	2	2
GDI2	1	1	1	1	1
ANKRD16;FBXO18	1	1	1	1	1
CISD1;IPMK	1	1	2	2	2
UBE2D1	2	2	2	2	2
TFAM	2	2	2	2	2
IL15RA	1	1	1	1	1
BICC1	0	2	2	2	0
PHYHIPL	2	0	0	0	0
IL2RA	1	0	0	0	1
FAM13C	2	2	1	2	0
RBM17	1	1	1	2	1
SLC16A9	1	2	1	2	2
CCDC6	1	2	1	2	2
PFKFB3	1	1	1	2	1
ANK3	1	1	1	2	1
CDK1	1	2	1	2	2
RHOBTB1	0	2	1	2	2
TMEM26	0	0	1	0	0
C10orf107	0	0	2	0	0
ARID5B	1	1	2	2	1
RTKN2	0	1	2	2	1
ZNF365	1	1	1	2	0
ADO	1	1	1	2	1
EGR2	1	1	2	2	1
NRBF2	1	2	2	2	1
JMJD1C;REEP3	1	2	1	2	1
PRKCQ	1	1	1	2	1
PRR26	0	0	1	0	0
CTNNA3	1	0	0	0	0
DNAJC12	1	1	1	1	1
SIRT1	1	1	1	1	1
HERC4	1	1	1	1	1
MYPN	0	1	0	1	0
ATOH7	2	0	0	0	0
HNRNPH3;PBLD	1	1	1	1	1
RUFY2	1	1	1	1	1
DNA2	1	1	1	2	1
SLC25A16	1	1	1	1	1
CCAR1	1	1	1	1	1
STOX1	1	1	1	1	1
DDX50	1	1	1	1	1
DDX21	1	1	1	1	1
KIAA1279	1	1	1	1	1
SRGN	1	1	1	1	1
VPS26A	1	1	1	1	1
SUPV3L1	1	1	1	1	1
HKDC1	0	1	0	0	0
HK1	1	1	1	1	1
TACR2	0	1	0	0	1
TSPAN15	1	1	1	1	1
NEUROG3	1	0	0	0	0
C10orf35	0	1	1	1	1
COL13A1	0	2	1	2	0
H2AFY2	0	0	1	2	2
AIFM2	1	1	1	2	1
TYSND1	1	1	1	2	1
SAR1A	1	1	1	1	1
PPA1	1	2	1	2	1
LRRC20	1	1	1	1	1
EIF4EBP2	1	1	1	1	1
NODAL	0	0	0	1	0
PALD1	1	0	1	1	1
PRF1	1	0	0	0	1
ADAMTS14	0	2	0	2	1
TBATA	0	1	0	0	0
SGPL1	1	1	1	2	1
PCBD1	1	1	1	2	1
UNC5B	0	1	1	2	1
DIP2C	2	2	1	1	2
SLC29A3	2	1	2	1	1
CDH23	0	1	1	0	2
C10orf54	2	1	2	1	1
PSAP	2	1	1	1	1
CHST3	1	1	1	1	1
SPOCK2	0	0	1	0	0
ANAPC16;ASCC1	2	1	1	1	1
DDIT4	1	1	1	1	1
DNAJB12	1	1	1	1	1
MICU1	1	1	1	1	1
MCU	1	1	1	1	1
SFMBT2	1	1	1	1	1
OIT3	0	0	0	0	1
P4HA1	2	1	1	2	2
NUDT13	1	1	1	1	1
ECD;FAM149B1	2	1	2	1	2
MRPS16	2	2	2	1	2
ANXA7	1	1	1	1	1
PPP3CB	1	1	1	1	1
USP54	1	1	1	1	1
MYOZ1	0	1	0	1	1
SYNPO2L	1	0	0	0	0
SEC24C	1	1	1	2	1
FUT11	1	1	1	1	1
CHCHD1;ZSWIM8	1	1	1	2	1
NDST2	1	1	1	2	1
CAMK2G	1	1	1	1	1
PLAU	1	1	1	1	1
VCL	1	1	1	2	1
ADK;AP3M1	1	1	1	1	1
KAT6B	1	2	2	1	2
DUSP13	0	2	0	0	1
SAMD8	1	1	1	1	1
VDAC2	1	1	1	2	1
COMTD1	1	1	1	2	1
ITIH5	0	0	0	0	1
ZNF503	2	1	1	2	2
ITIH2	0	1	0	0	0
KIN	1	1	1	1	1
ATP5C1	1	1	1	2	1
TAF3	1	1	1	2	1
KCNMA1	1	1	0	2	0
DLG5	1	1	1	1	1
POLR3A	1	1	1	1	1
RPS24	1	1	1	1	1
ZMIZ1	1	1	1	1	1
GATA3	1	2	1	1	2
PPIF	1	1	2	1	1
ZCCHC24	1	1	2	1	1
EIF5AL1	1	1	2	2	2
TMEM254	1	1	1	2	2
PLAC9	0	0	1	0	0
ANXA11	1	1	1	2	1
MAT1A	1	0	0	2	1
DYDC2	0	0	0	2	1
FAM213A	1	1	1	1	1
TSPAN14	1	1	1	1	1
NRG3	0	0	1	0	0
GHITM	2	2	2	2	1
C10orf99	2	0	0	2	0
CDHR1	1	0	2	1	2
CCSER2	2	2	1	1	1
GRID1	0	1	0	0	0
OPN4	0	1	0	0	0
LDB3	0	1	0	0	0
BMPR1A	1	1	0	1	1
SNCG;MMRN2	0	1	1	1	1
ADIRF	0	1	1	1	2
FAM25A	0	0	0	1	0
FAM35A;GLUD1	1	1	1	1	1
MINPP1	2	1	1	2	2
PAPSS2	0	1	2	2	2
ATAD1	1	1	2	2	2
PTEN	1	1	2	2	2
RNLS	2	1	2	1	2
ANKRD22	1	1	0	1	0
ACTA2;FAS	1	1	2	1	1
CH25H	0	1	2	1	2
LIPA	1	1	2	1	1
IFIT2	1	1	2	1	1
IFIT3	1	1	2	1	1
IFIT1B	0	0	0	0	2
IFIT1	1	1	2	1	1
IFIT5	1	1	2	1	1
PANK1	1	2	2	1	1
KIF20B	1	2	1	2	2
HTR7	2	2	2	1	1
RPP30	1	2	2	1	1
ANKRD1	0	1	2	0	2
PCGF5	1	1	2	1	1
HECTD2	1	1	2	1	1
PPP1R3C	0	1	2	1	1
TNKS2	2	1	2	1	1
FGFBP3	2	1	0	2	1
BTAF1	1	1	1	1	1
CPEB3;MARCH5	1	1	1	2	2
IDE	1	1	1	2	1
KIF11	1	1	1	2	1
