gs_id	entrez
EWSR1	11173
EWSR1	64782
EWSR1	8120
EWSR1	91947
EWSR1	10518
EWSR1	1381
EWSR1	1512
EWSR1	55466
EWSR1	64843
EWSR1	84894
EWSR1	10933
EWSR1	4756
EWSR1	9055
EWSR1	91433
EWSR1	23423
EWSR1	80349
EWSR1	1382
EWSR1	2117
EWSR1	2212
EWSR1	2702
EWSR1	3310
EWSR1	55891
EWSR1	375033
EWSR1	6274
EWSR1	93973
EWSR1	9254
EWSR1	152206
EWSR1	1951
EWSR1	1294
EWSR1	3373
EWSR1	51447
EWSR1	7873
EWSR1	29890
EWSR1	51517
EWSR1	114884
EWSR1	11186
EWSR1	9047
EWSR1	6405
EWSR1	65010
EWSR1	11070
EWSR1	10911
EWSR1	7384
EWSR1	50853
EWSR1	9730
EWSR1	92999
EWSR1	353274
EWSR1	55859
EWSR1	114928
EWSR1	140597
EWSR1	85012
EWSR1	90843
EWSR1	11013
EWSR1	90427
EWSR1	701
EWSR1	388115
EWSR1	23582
EWSR1	1139
EWSR1	85455
EWSR1	161835
EWSR1	56924
EWSR1	6727
EWSR1	27229
EWSR1	146050
EWSR1	63932
EWSR1	4694
EWSR1	7737
EWSR1	79576
EWSR1	55922
EWSR1	10857
EWSR1	6170
EWSR1	23157
EWSR1	203427
EWSR1	292
EWSR1	347454
EWSR1	57187
EWSR1	7319
EWSR1	65109
EWSR1	149478
EWSR1	1031
EWSR1	51727
EWSR1	9813
EWSR1	10158
EWSR1	6491
EWSR1	6886
EWSR1	23318
EWSR1	6369
EWSR1	729438
EWSR1	3092
EWSR1	3315
EWSR1	4191
EWSR1	51657
EWSR1	100101267
EWSR1	5447
EWSR1	57414
EWSR1	222183
EWSR1	55069
EWSR1	8460
EWSR1	7532
EWSR1	7784
EWSR1	10058
EWSR1	55139
EWSR1	79065
EWSR1	27013
EWSR1	79137
EWSR1	3300
EWSR1	23549
EWSR1	54738
EWSR1	1412
EWSR1	79411
EWSR1	8576
EWSR1	7277
EWSR1	55355
EWSR1	79840
EWSR1	5798
EWSR1	84236
EWSR1	80326
EWSR1	130617
EWSR1	80344
EWSR1	10202
EWSR1	51292
EWSR1	4738
EWSR1	100528064
EWSR1	4901
EWSR1	5106
EWSR1	5720
EWSR1	283
EWSR1	328
EWSR1	55644
EWSR1	90809
EWSR1	55701
EWSR1	57447
EWSR1	9362
EWSR1	10901
EWSR1	317749
EWSR1	51016
EWSR1	5721
EWSR1	55072
EWSR1	10379
EWSR1	9985
EWSR1	197322
EWSR1	353
EWSR1	1013
EWSR1	1535
EWSR1	2588
EWSR1	51693
EWSR1	4597
EWSR1	333929
EWSR1	161882
EWSR1	197320
EWSR1	8530
EWSR1	92675
EWSR1	55184
EWSR1	10621
EWSR1	3170
EWSR1	64412
EWSR1	55614
EWSR1	140838
EWSR1	22981
EWSR1	100303755
EWSR1	57186
EWSR1	28954
EWSR1	10483
EWSR1	22803
EWSR1	7692
EWSR1	553
EWSR1	6900
EWSR1	1465
EWSR1	1510
EWSR1	55733
EWSR1	25802
EWSR1	148811
EWSR1	4660
EWSR1	29089
EWSR1	149345
EWSR1	254428
EWSR1	127833
EWSR1	10440
EWSR1	79805
EWSR1	9854
EWSR1	1798
EWSR1	1656
EWSR1	3014
EWSR1	25988
EWSR1	10525
EWSR1	4162
EWSR1	23187
EWSR1	6230
EWSR1	51399
EWSR1	2542
EWSR1	55823
EWSR1	60312
EWSR1	55330
EWSR1	114932
EWSR1	257236
EWSR1	93624
EWSR1	132864
EWSR1	8532
EWSR1	54360
EWSR1	80273
EWSR1	9778
EWSR1	4043
EWSR1	55646
EWSR1	166793
EWSR1	23324
EWSR1	4487
EWSR1	54436
EWSR1	57537
EWSR1	57533
EWSR1	85013
EWSR1	101
EWSR1	50632
EWSR1	1793
EWSR1	1892
EWSR1	282969
EWSR1	85442
EWSR1	92170
EWSR1	196743
EWSR1	10844
EWSR1	118472
EWSR1	8433
EWSR1	27287
EWSR1	36
EWSR1	64376
EWSR1	8038
EWSR1	664
EWSR1	9184
EWSR1	80007
EWSR1	119587
EWSR1	10570
EWSR1	10539
EWSR1	340784
EWSR1	3632
EWSR1	80313
EWSR1	282974
EWSR1	4255
EWSR1	4288
EWSR1	170394
EWSR1	9556
EWSR1	8788
EWSR1	51466
EWSR1	10914
EWSR1	5527
EWSR1	123096
EWSR1	7453
EWSR1	79446
EWSR1	7528
EWSR1	92922
EWSR1	29070
EWSR1	1459
EWSR1	10300
EWSR1	3801
EWSR1	4324
EWSR1	84560
EWSR1	65009
EWSR1	5432
EWSR1	79918
EWSR1	79650
EWSR1	57567
EWSR1	29800
EWSR1	11194
EWSR1	285973
EWSR1	10061
EWSR1	54480
EWSR1	116988
EWSR1	83590
EWSR1	10922
EWSR1	3757
EWSR1	6522
EWSR1	6604
EWSR1	9114
EWSR1	865
EWSR1	283848
EWSR1	10664
EWSR1	79567
EWSR1	55336
EWSR1	3299
EWSR1	8717
EWSR1	29109
EWSR1	6553
EWSR1	653319
EWSR1	26231
EWSR1	29100
EWSR1	23365
EWSR1	63876
EWSR1	54414
EWSR1	6768
EWSR1	219902
EWSR1	219854
EWSR1	372
EWSR1	867
EWSR1	338657
EWSR1	3145
EWSR1	56912
EWSR1	79102
EWSR1	7070
EWSR1	84866
EWSR1	23650
EWSR1	1175
EWSR1	593
EWSR1	56915
EWSR1	84798
EWSR1	284325
EWSR1	6626
EWSR1	728
EWSR1	808
EWSR1	100506012
EWSR1	729440
EWSR1	83987
EWSR1	90324
EWSR1	6320
EWSR1	29785
EWSR1	147906
EWSR1	9704
EWSR1	1762
EWSR1	112398
EWSR1	284361
EWSR1	54869
EWSR1	112724
EWSR1	112703
EWSR1	84922
EWSR1	147807
EWSR1	79147
EWSR1	29888
EWSR1	3171
EWSR1	8189
EWSR1	2793
EWSR1	51206
EWSR1	11100
EWSR1	23640
EWSR1	84446
EWSR1	26145
EWSR1	79763
EWSR1	126119
EWSR1	53916
EWSR1	57644
EWSR1	4620
EWSR1	57106
EWSR1	284297
EWSR1	4861
EWSR1	55228
EWSR1	54776
EWSR1	5536
EWSR1	22870
EWSR1	25865
EWSR1	5739
EWSR1	10055
EWSR1	6510
EWSR1	7040
EWSR1	284417
EWSR1	54958
EWSR1	641649
EWSR1	7138
EWSR1	7137
EWSR1	27338
EWSR1	23211
EWSR1	147657
EWSR1	163033
EWSR1	89887
EWSR1	90321
EWSR1	147808
EWSR1	7461
EWSR1	2969
EWSR1	9569
EWSR1	7462
EWSR1	3984
EWSR1	5982
EWSR1	155368
EWSR1	158
EWSR1	27297
EWSR1	7458
EWSR1	2990
EWSR1	154881
EWSR1	27342
EWSR1	154807
EWSR1	920
EWSR1	83461
EWSR1	8078
EWSR1	50813
EWSR1	2597
EWSR1	25900
EWSR1	51147
EWSR1	57121
EWSR1	8079
EWSR1	4839
EWSR1	5763
EWSR1	84727
EWSR1	7167
EWSR1	171017
EWSR1	1822
EWSR1	113246
EWSR1	5777
EWSR1	715
EWSR1	51279
EWSR1	716
EWSR1	1108
EWSR1	9746
EWSR1	10436
EWSR1	11331
EWSR1	2026
EWSR1	27239
EWSR1	10162
EWSR1	10233
EWSR1	5830
EWSR1	122622
EWSR1	113146
EWSR1	122416
EWSR1	8812
EWSR1	84193
EWSR1	3320
EWSR1	91833
EWSR1	64423
EWSR1	23186
EWSR1	10572
EWSR1	147646
EWSR1	945
EWSR1	2357
EWSR1	2358
EWSR1	2359
EWSR1	3036
EWSR1	4818
EWSR1	7376
EWSR1	5518
EWSR1	6158
EWSR1	388564
EWSR1	6193
EWSR1	116412
EWSR1	10155
EWSR1	84878
EWSR1	51231
EWSR1	25888
EWSR1	7691
EWSR1	10782
EWSR1	25799
EWSR1	388569
EWSR1	59348
EWSR1	9668
EWSR1	55663
EWSR1	162968
EWSR1	27300
EWSR1	201514
EWSR1	284370
EWSR1	65251
EWSR1	7554
EWSR1	162962
EWSR1	284371
EWSR1	342945
EWSR1	9296
EWSR1	813
EWSR1	64753
EWSR1	2318
EWSR1	6608
EWSR1	168850
EWSR1	23382
EWSR1	93664
EWSR1	29923
EWSR1	3614
EWSR1	55798
EWSR1	55131
EWSR1	23534
EWSR1	388552
EWSR1	79090
EWSR1	10849
EWSR1	10848
EWSR1	24139
EWSR1	2067
EWSR1	2068
EWSR1	23403
EWSR1	2354
EWSR1	79760
EWSR1	2696
EWSR1	80207
EWSR1	147699
EWSR1	6253
EWSR1	54814
EWSR1	6633
EWSR1	147912
EWSR1	7408
EWSR1	208
EWSR1	27113
EWSR1	27202
EWSR1	26093
EWSR1	90353
EWSR1	30846
EWSR1	2014
EWSR1	29998
EWSR1	29997
EWSR1	11133
EWSR1	3978
EWSR1	4294
EWSR1	4213
EWSR1	8775
EWSR1	284352
EWSR1	10567
EWSR1	6415
EWSR1	27036
EWSR1	6689
EWSR1	65057
EWSR1	50855
EWSR1	388284
EWSR1	84080
EWSR1	80152
EWSR1	10204
EWSR1	54920
EWSR1	23644
EWSR1	81577
EWSR1	5681
EWSR1	57610
EWSR1	55815
EWSR1	6645
EWSR1	342371
EWSR1	999
EWSR1	64174
EWSR1	4775
EWSR1	123904
EWSR1	23659
EWSR1	54496
EWSR1	84138
EWSR1	5699
EWSR1	3931
EWSR1	6560
EWSR1	9057
EWSR1	57215
EWSR1	124491
EWSR1	79583
EWSR1	9049
EWSR1	23529
EWSR1	57175
EWSR1	57010
EWSR1	2950
EWSR1	22992
EWSR1	5138
EWSR1	5883
EWSR1	6199
EWSR1	80194
EWSR1	338692
EWSR1	10263
EWSR1	9600
EWSR1	3619
EWSR1	4728
EWSR1	254552
EWSR1	26073
EWSR1	5499
EWSR1	5790
EWSR1	5866
EWSR1	54961
EWSR1	374403
EWSR1	10312
EWSR1	81622
EWSR1	221
EWSR1	215
EWSR1	9578
EWSR1	1983
EWSR1	4140
EWSR1	7187
EWSR1	7443
EWSR1	207
EWSR1	100128927
EWSR1	122616
EWSR1	55038
EWSR1	283638
EWSR1	29933
EWSR1	3714
EWSR1	256281
EWSR1	122618
Other	2
Other	8086
Other	65985
Other	51166
Other	195827
Other	79719
Other	22848
Other	28971
Other	14
Other	25980
Other	16
Other	57505
Other	80755
Other	132949
Other	60496
Other	10157
Other	26574
Other	9625
Other	18
Other	19
Other	26154
Other	154664
Other	20
Other	21
Other	23461
Other	23460
Other	10347
Other	10351
Other	23456
Other	5244
Other	22
Other	23457
Other	4363
Other	89845
Other	8714
Other	10257
Other	10057
Other	225
Other	5825
Other	5826
Other	6059
Other	23
Other	55324
Other	9619
Other	9429
Other	84696
Other	55347
Other	83451
Other	26090
Other	84945
Other	25864
Other	84836
Other	116236
Other	7920
Other	81926
Other	51104
Other	58489
Other	11057
Other	171586
Other	63874
Other	51099
Other	57406
Other	79575
Other	10006
Other	10152
Other	51225
