gs_id	entrez
ATF3	665
ATF3	157313
ATF3	54793
ATF3	80005
ATF3	4741
ATF3	4152
ATF3	5108
ATF3	5520
ATF3	7991
ATF3	11047
ATF3	3911
ATF3	149986
ATF3	26164
ATF3	11054
ATF3	9885
ATF3	116154
ATF3	5688
ATF3	26039
ATF3	28231
ATF3	6874
ATF3	215
ATF3	81693
ATF3	84334
ATF3	9529
ATF3	9578
ATF3	1120
ATF3	1152
ATF3	1983
ATF3	4140
ATF3	10914
ATF3	7127
ATF3	7187
ATF3	115708
ATF3	7528
ATF3	255809
ATF3	90580
ATF3	78992
ATF3	10498
ATF3	9441
ATF3	23309
ATF3	79086
ATF3	79041
ATF3	11018
ATF3	54971
ATF3	404550
ATF3	1327
ATF3	10328
ATF3	51659
ATF3	3394
ATF3	54758
ATF3	8140
ATF3	257062
ATF3	9361
ATF3	91039
ATF3	56931
ATF3	55527
ATF3	56929
ATF3	84717
ATF3	23030
ATF3	116844
ATF3	84954
ATF3	3662
ATF3	84939
ATF3	4701
ATF3	6234
ATF3	10226
ATF3	440503
ATF3	5802
ATF3	9230
ATF3	339122
ATF3	6209
ATF3	9294
ATF3	6294
ATF3	9667
ATF3	55620
ATF3	148022
ATF3	126282
ATF3	51341
ATF3	93134
ATF3	83854
ATF3	56342
ATF3	692312
ATF3	692312
ATF3	84971
ATF3	55337
ATF3	11140
ATF3	1032
ATF3	65095
ATF3	1786
ATF3	8666
ATF3	3383
ATF3	3385
ATF3	3386
ATF3	51073
ATF3	93145
ATF3	5032
ATF3	692312
ATF3	125950
ATF3	7297
ATF3	84266
ATF3	23476
ATF3	3004
ATF3	53615
ATF3	64180
ATF3	399664
ATF3	8498
ATF3	10045
ATF3	6929
ATF3	83439
ATF3	8744
ATF3	91978
ATF3	10975
ATF3	7730
ATF3	79230
ATF3	84527
ATF3	100529215
ATF3	5154
ATF3	57786
ATF3	100533952
ATF3	100533952
ATF3	26100
ATF3	718
ATF3	970
ATF3	8192
ATF3	79958
ATF3	56927
ATF3	9322
ATF3	2962
ATF3	8570
ATF3	54531
ATF3	4298
ATF3	5990
ATF3	79085
ATF3	8740
ATF3	10382
ATF3	7409
ETV6	665
ETV6	157313
ETV6	54793
ETV6	80005
ETV6	4741
ETV6	4152
ETV6	5108
ETV6	5520
ETV6	7991
ETV6	51084
ETV6	2700
ETV6	2706
ETV6	8100
ETV6	54737
ETV6	55269
ETV6	64328
ETV6	7750
ETV6	9205
ETV6	64400
ETV6	92922
ETV6	1066
ETV6	80205
ETV6	10300
ETV6	23594
ETV6	55737
ETV6	79801
ETV6	28971
ETV6	51773
ETV6	79053
ETV6	282679
ETV6	9828
ETV6	26005
ETV6	51400
ETV6	1207
ETV6	51287
ETV6	80227
ETV6	2017
ETV6	23201
ETV6	9846
ETV6	65987
ETV6	283219
ETV6	57558
ETV6	220064
ETV6	58473
ETV6	5547
ETV6	5870
ETV6	1277
ETV6	404093
ETV6	1534
ETV6	3675
ETV6	5164
ETV6	84687
ETV6	201191
ETV6	6442
ETV6	162461
ETV6	64132
ETV6	10189
ETV6	51529
ETV6	396
ETV6	79672
ETV6	2873
ETV6	5986
ETV6	147111
ETV6	6904
ETV6	54998
ETV6	126792
ETV6	51150
ETV6	54991
ETV6	728642
ETV6	54973
ETV6	83756
ETV6	339451
ETV6	26155
ETV6	55052
ETV6	84069
ETV6	118424
ETV6	26286
ETV6	55738
ETV6	79444
ETV6	11083
ETV6	54994
ETV6	55257
ETV6	63910
ETV6	10732
ETV6	54915
ETV6	79924
ETV6	79087
ETV6	79174
ETV6	1120
ETV6	83933
ETV6	85378
ETV6	440836
ETV6	23654
ETV6	11158
ETV6	6305
ETV6	80305
ETV6	9889
ETV6	2771
ETV6	4486
ETV6	201626
ETV6	10181
ETV6	6405
ETV6	11070
ETV6	253639
ETV6	51550
ETV6	9895
ETV6	1778
ETV6	3320
ETV6	91833
ETV6	5891
ETV6	5527
ETV6	55778
ETV6	9131
ETV6	63035
ETV6	2000
ETV6	4952
ETV6	9363
ETV6	54440
ETV6	6594
ETV6	10813
ETV6	51114
ETV6	55609
ETV6	10058
ETV6	55139
ETV6	79065
ETV6	8941
ETV6	27013
ETV6	79137
ETV6	23549
ETV6	79411
ETV6	8576
ETV6	7277
ETV6	79840
ETV6	130617
ETV6	372
ETV6	9854
ETV6	1798
ETV6	867
ETV6	338657
ETV6	643
ETV6	1656
ETV6	3014
ETV6	25988
ETV6	3145
ETV6	10525
ETV6	56912
ETV6	4162
ETV6	79671
ETV6	6230
ETV6	51399
ETV6	2542
ETV6	55823
ETV6	84811
ETV6	80071
ETV6	9538
ETV6	90952
ETV6	9638
ETV6	11178
ETV6	220296
ETV6	79684
ETV6	23310
ETV6	112936
ETV6	4900
ETV6	9159
ETV6	257160
ETV6	79102
ETV6	54414
ETV6	219855
ETV6	84897
ETV6	7070
ETV6	219854
ETV6	9099
ETV6	7753
ETV6	84904
ETV6	768
ETV6	10488
ETV6	148327
ETV6	7094
ETV6	57704
ETV6	9827
ETV6	400966
ETV6	51754
ETV6	7169
EWSR1	665
EWSR1	157313
EWSR1	54793
EWSR1	80005
EWSR1	4741
EWSR1	4152
EWSR1	5108
EWSR1	5520
EWSR1	7991
EWSR1	25841
EWSR1	203859
EWSR1	120534
EWSR1	4076
EWSR1	847
EWSR1	1384
EWSR1	10249
EWSR1	966
EWSR1	1479
EWSR1	91614
EWSR1	79733
EWSR1	26273
EWSR1	10114
EWSR1	3739
EWSR1	744
EWSR1	55226
EWSR1	79832
EWSR1	258010
EWSR1	55346
EWSR1	54503
EWSR1	378708
EWSR1	100526739
EWSR1	100526739
EWSR1	1676
EWSR1	5195
EWSR1	55735
EWSR1	83715
EWSR1	23463
EWSR1	79707
EWSR1	90326
EWSR1	3104
EWSR1	79586
EWSR1	130612
EWSR1	3579
EWSR1	2043
EWSR1	29926
EWSR1	3485
EWSR1	3488
EWSR1	151050
EWSR1	4133
EWSR1	10988
EWSR1	114790
EWSR1	7145
EWSR1	64400
EWSR1	92922
EWSR1	1066
EWSR1	80205
EWSR1	10300
EWSR1	23594
EWSR1	55737
EWSR1	79801
EWSR1	14
EWSR1	25953
EWSR1	10109
EWSR1	58190
EWSR1	1593
EWSR1	151306
EWSR1	84812
EWSR1	130367
EWSR1	64114
EWSR1	26090
EWSR1	22918
EWSR1	955
EWSR1	29107
EWSR1	22974
EWSR1	128434
EWSR1	23299
EWSR1	23196
EWSR1	158293
EWSR1	89846
EWSR1	619477
EWSR1	64768
EWSR1	5252
EWSR1	5253
EWSR1	10558
EWSR1	83744
EWSR1	27301
EWSR1	54552
EWSR1	9500
EWSR1	10916
EWSR1	474343
EWSR1	90121
EWSR1	10239
EWSR1	64784
EWSR1	3418
EWSR1	374654
EWSR1	55897
EWSR1	8800
EWSR1	56964
EWSR1	10509
EWSR1	90381
EWSR1	342132
EWSR1	10519
EWSR1	51335
EWSR1	390637
EWSR1	374659
EWSR1	55898
EWSR1	8826
EWSR1	5151
EWSR1	28232
EWSR1	84942
EWSR1	9640
EWSR1	11057
EWSR1	140460
EWSR1	400451
EWSR1	55215
EWSR1	145864
EWSR1	3669
EWSR1	84206
EWSR1	4240
EWSR1	5428
EWSR1	9055
EWSR1	91433
EWSR1	9899
EWSR1	23336
EWSR1	26276
EWSR1	374655
EWSR1	10058
EWSR1	55139
EWSR1	79065
EWSR1	8941
EWSR1	27013
EWSR1	79137
EWSR1	23549
EWSR1	79411
EWSR1	8576
EWSR1	7277
EWSR1	79840
EWSR1	130617
EWSR1	1009
EWSR1	25839
EWSR1	23450
EWSR1	55308
EWSR1	197258
EWSR1	4324
EWSR1	4775
EWSR1	23659
EWSR1	80004
EWSR1	54496
EWSR1	84138
EWSR1	9057
EWSR1	6483
EWSR1	57215
EWSR1	55697
EWSR1	84937
EWSR1	35
EWSR1	51433
EWSR1	79369
EWSR1	64897
EWSR1	795
EWSR1	9478
EWSR1	10645
EWSR1	8562
EWSR1	8638
EWSR1	5027
EWSR1	80196
EWSR1	144404
EWSR1	388327
EWSR1	51003
EWSR1	23125
EWSR1	23277
EWSR1	1497
EWSR1	23729
EWSR1	51009
EWSR1	79003
EWSR1	83460
EWSR1	30851
EWSR1	2027
EWSR1	5216
EWSR1	54478
EWSR1	83903
EWSR1	388324
EWSR1	10749
EWSR1	9851
EWSR1	84817
EWSR1	79066
EWSR1	4335
EWSR1	5026
EWSR1	100533970
EWSR1	9135
EWSR1	26001
EWSR1	8402
EWSR1	388325
EWSR1	5345
EWSR1	9905
EWSR1	9552
EWSR1	54739
EWSR1	124961
EWSR1	7775
EWSR1	84622
EWSR1	91574
EWSR1	8099
EWSR1	57696
EWSR1	1967
EWSR1	2967
EWSR1	353116
EWSR1	196383
EWSR1	55206
EWSR1	11066
EWSR1	79867
EWSR1	10959
EWSR1	65985
EWSR1	23457
EWSR1	79676
EWSR1	23545
EWSR1	79794
EWSR1	84900
EWSR1	80212
EWSR1	144348
EWSR1	317781
EWSR1	79050
EWSR1	57634
EWSR1	347918
EWSR1	144347
EWSR1	26259
EWSR1	9921
EWSR1	6433
EWSR1	54997
EWSR1	8408
EWSR1	968
EWSR1	9526
EWSR1	1140
EWSR1	2256
EWSR1	116840
EWSR1	58485
EWSR1	124637
EWSR1	51691
EWSR1	84316
EWSR1	1801
EWSR1	1973
EWSR1	9513
EWSR1	6462
EWSR1	3090
EWSR1	147040
EWSR1	124641
EWSR1	5187
EWSR1	5430
EWSR1	57659
EWSR1	54407
EWSR1	112483
EWSR1	23293
EWSR1	63826
EWSR1	284114
EWSR1	254863
EWSR1	100529211
EWSR1	8742
EWSR1	407977
EWSR1	7157
EWSR1	55135
EWSR1	37
EWSR1	1742
EWSR1	3996
EWSR1	9744
EWSR1	84461
EWSR1	255877
EWSR1	124944
EWSR1	100529209
EWSR1	440400
EWSR1	23399
EWSR1	23587
EWSR1	1856
EWSR1	1984
EWSR1	143244
EWSR1	2874
EWSR1	11337
EWSR1	79142
EWSR1	162515
EWSR1	201232
EWSR1	6517
EWSR1	124997
IKZF1	665
IKZF1	157313
IKZF1	54793
IKZF1	80005
IKZF1	4741
IKZF1	4152
IKZF1	5108
IKZF1	5520
IKZF1	7991
IKZF1	171023
IKZF1	598
IKZF1	128853
IKZF1	164395
IKZF1	64412
IKZF1	3055
IKZF1	81502
IKZF1	3397
IKZF1	100303755
IKZF1	5326
IKZF1	23509
IKZF1	5834
IKZF1	57186
IKZF1	9777
IKZF1	343702
IKZF1	22803
IKZF1	104
IKZF1	3689
IKZF1	23275
IKZF1	754
IKZF1	8568
IKZF1	23076
IKZF1	7327
IKZF1	9907
IKZF1	84310
IKZF1	115330
IKZF1	26173
IKZF1	7975
IKZF1	79778
IKZF1	202915
IKZF1	90637
KLF16	665
KLF16	157313
KLF16	54793
KLF16	80005
KLF16	4741
KLF16	4152
KLF16	5108
KLF16	5520
KLF16	7991
KLF16	25841
KLF16	203859
KLF16	120534
KLF16	4076
KLF16	847
KLF16	1384
KLF16	10249
KLF16	966
KLF16	1479
KLF16	91614
KLF16	79733
KLF16	26273
KLF16	10114
KLF16	3739
KLF16	744
KLF16	55226
KLF16	79832
KLF16	258010
KLF16	55346
KLF16	54503
KLF16	54463
KLF16	79072
KLF16	4552
KLF16	23194
KLF16	84246
KLF16	54888
KLF16	6715
KLF16	90441
KLF16	375
KLF16	442334
KLF16	79169
KLF16	128308
KLF16	8476
KLF16	2987
KLF16	200205
KLF16	574432
KLF16	65094
KLF16	116841
KLF16	89780
KLF16	7483
KLF16	339500
KLF16	79586
KLF16	130612
KLF16	3579
KLF16	2043
KLF16	29926
KLF16	3485
KLF16	3488
KLF16	151050
KLF16	4133
KLF16	10988
KLF16	114790
KLF16	7145
KLF16	14
KLF16	25953
KLF16	10109
KLF16	58190
KLF16	1593
KLF16	151306
KLF16	84812
KLF16	130367
KLF16	64114
KLF16	1138
KLF16	1512
KLF16	26263
KLF16	10363
KLF16	79834
KLF16	10643
KLF16	55272
KLF16	84888
KLF16	10933
KLF16	4756
KLF16	161753
KLF16	257364
KLF16	23423
KLF16	92912
KLF16	26090
KLF16	22918
KLF16	955
KLF16	29107
KLF16	22974
KLF16	128434
KLF16	215
KLF16	10134
KLF16	91966
KLF16	139716
KLF16	2664
KLF16	3054
KLF16	8269
KLF16	3423
KLF16	3897
KLF16	8273
KLF16	8266
KLF16	6535
KLF16	369
KLF16	5199
KLF16	9282
KLF16	7102
KLF16	29978
KLF16	7592
KLF16	57232
KLF16	126526
KLF16	23646
KLF16	808
KLF16	100506012
KLF16	27243
KLF16	352909
KLF16	27335
KLF16	11184
KLF16	25865
KLF16	29946
KLF16	339327
KLF16	55561
KLF16	2495
KLF16	8500
KLF16	5936
KLF16	55298
KLF16	219931
MEIS2	665
MEIS2	157313
MEIS2	54793
MEIS2	80005
MEIS2	4741
MEIS2	4152
MEIS2	5108
MEIS2	5520
MEIS2	7991
MEIS2	7461
MEIS2	27297
MEIS2	2006
MEIS2	100130933
MEIS2	2969
MEIS2	100093631
MEIS2	9569
MEIS2	154881
MEIS2	7462
MEIS2	23428
MEIS2	27342
MEIS2	5982
MEIS2	55069
MEIS2	203286
MEIS2	10541
MEIS2	100499483
MEIS2	1164
MEIS2	7464
MEIS2	1612
MEIS2	10912
MEIS2	79695
MEIS2	3376
MEIS2	54187
MEIS2	4686
MEIS2	158427
MEIS2	4783
MEIS2	10507
MEIS2	55357
MEIS2	9830
MEIS2	7507
MEIS2	169841
MEIS2	338440
MEIS2	161
MEIS2	80162
MEIS2	977
MEIS2	51286
MEIS2	79751
MEIS2	10522
MEIS2	283232
MEIS2	64787
MEIS2	3265
MEIS2	115399
MEIS2	8519
MEIS2	10581
MEIS2	10410
MEIS2	3665
MEIS2	4928
MEIS2	27315
MEIS2	347862
MEIS2	57661
MEIS2	81490
MEIS2	8045
MEIS2	6050
MEIS2	246243
MEIS2	284203
MEIS2	6181
MEIS2	59307
MEIS2	6888
MEIS2	1877
MEIS2	81889
MEIS2	3029
MEIS2	57585
MEIS2	90861
MEIS2	23162
MEIS2	65993
MEIS2	4832
MEIS2	51734
MEIS2	4913
MEIS2	7249
MEIS2	10101
MEIS2	90864
MEIS2	54858
MEIS2	283871
MEIS2	283870
MEIS2	6187
MEIS2	90850
MEIS2	21
MEIS2	899
MEIS2	283869
MEIS2	4917
MEIS2	57465
MEIS2	25837
MEIS2	10921
SP1	665
SP1	157313
SP1	54793
SP1	80005
SP1	4741
SP1	4152
SP1	5108
SP1	5520
SP1	7991
SP1	7561
SP1	9534
SP1	7594
SP1	91120
SP1	7639
SP1	7643
SP1	148198
SP1	441054
SP1	836
SP1	201973
SP1	2483
SP1	2823
SP1	3660
SP1	55325
SP1	10947
SP1	8973
SP1	84296
SP1	84376
SP1	81790
SP1	3551
SP1	7994
SP1	5327
SP1	5423
SP1	11232
SP1	6575
SP1	114926
SP1	55145
SP1	7419
SP1	10187
SP1	51104
SP1	138241
SP1	216
SP1	301
SP1	84131
SP1	116224
SP1	2395
SP1	2650
SP1	414328
SP1	687
SP1	54981
SP1	26578
SP1	5125
SP1	8395
SP1	29968
SP1	375743
SP1	55312
SP1	23137
SP1	9414
SP1	7091
SP1	23670
SP1	80036
SP1	23230
SP1	7763
SP1	171425
SP1	5611
SP1	23348
SP1	2262
SP1	2841
SP1	160897
SP1	1880
SP1	10150
SP1	5911
SP1	6555
SP1	9375
SP1	10673
SP1	337867
SP1	55757
SP1	259266
SP1	55765
SP1	79762
SP1	148304
SP1	23271
SP1	79577
SP1	83479
SP1	163486
SP1	27042
SP1	2058
SP1	50486
SP1	51022
SP1	91156
SP1	343450
SP1	9928
SP1	23046
SP1	3914
SP1	4139
SP1	4194
SP1	89796
SP1	140609
SP1	23057
SP1	5208
SP1	55432
SP1	4660
SP1	29089
SP1	5788
SP1	5996
SP1	6003
SP1	64407
SP1	5997
SP1	6012
SP1	51018
SP1	55061
SP1	252839
SP1	7139
SP1	80342
SP1	6738
SP1	51377
SP1	23528
SP1	80325
SP1	25847
SP1	80254
SP1	64770
SP1	84303
SP1	60678
SP1	8607
SP1	2047
SP1	8997
SP1	4171
SP1	4176
SP1	11343
SP1	5096
SP1	7879
SP1	26984
SP1	29927
SP1	54437
SP1	9515
SP1	23023
SP1	131601
SP1	51084
SP1	2700
SP1	2706
SP1	8100
SP1	54737
SP1	55269
SP1	64328
SP1	7750
SP1	9205
SP1	25841
SP1	203859
SP1	120534
SP1	4076
SP1	847
SP1	1384
SP1	10249
SP1	966
SP1	1479
SP1	91614
SP1	79733
SP1	26273
SP1	10114
SP1	3739
SP1	744
SP1	55226
SP1	79832
SP1	258010
SP1	55346
SP1	54503
SP1	54463
SP1	79072
SP1	4552
SP1	23194
SP1	84246
SP1	54888
SP1	6715
SP1	90441
SP1	375
SP1	442334
SP1	79169
SP1	128308
SP1	8476
SP1	2987
SP1	200205
SP1	574432
SP1	65094
SP1	116841
SP1	89780
SP1	7483
SP1	339500
SP1	79586
SP1	130612
SP1	3579
SP1	2043
SP1	29926
SP1	3485
SP1	3488
SP1	151050
SP1	4133
SP1	10988
SP1	114790
SP1	7145
SP1	64400
SP1	92922
SP1	1066
SP1	80205
SP1	10300
SP1	23594
SP1	55737
SP1	79801
SP1	14
SP1	25953
SP1	10109
SP1	58190
SP1	1593
SP1	151306
SP1	84812
SP1	130367
SP1	64114
SP1	55331
SP1	726
SP1	79731
SP1	51585
SP1	25987
SP1	84532
SP1	8530
SP1	92675
SP1	55184
SP1	10621
SP1	55614
SP1	10801
SP1	63908
SP1	256236
SP1	10483
SP1	7692
SP1	28971
SP1	51773
SP1	79053
SP1	282679
SP1	9828
SP1	26005
SP1	51400
SP1	1207
SP1	51287
SP1	80227
SP1	2017
SP1	23201
SP1	9846
SP1	65987
SP1	283219
SP1	57558
SP1	220064
SP1	58473
SP1	5547
SP1	5870
SP1	27336
SP1	3920
SP1	51634
SP1	4068
SP1	9016
SP1	10479
SP1	84679
SP1	10735
SP1	57187
SP1	331
SP1	27161
SP1	54108
SP1	22898
SP1	1936
SP1	286077
SP1	2738
SP1	79792
SP1	4061
SP1	4062
SP1	84232
SP1	81858
SP1	5339
SP1	5747
SP1	11156
SP1	65263
SP1	7264
SP1	114822
SP1	51337
SP1	84948
SP1	116447
SP1	83696
SP1	203062
SP1	23144
SP1	286128
SP1	9831
SP1	79943
SP1	286075
SP1	90736
SP1	29057
SP1	36
SP1	64376
SP1	101
SP1	50632
SP1	51363
SP1	1892
SP1	282969
SP1	10539
SP1	3632
SP1	4288
SP1	92170
SP1	84504
SP1	196743
SP1	118471
SP1	5791
SP1	10844
SP1	118472
SP1	116983
SP1	126789
SP1	11332
SP1	79814
SP1	375790
SP1	8574
SP1	54896
SP1	441869
SP1	128272
SP1	55210
SP1	83858
SP1	23400
SP1	643988
SP1	55450
SP1	23261
SP1	832
SP1	842
SP1	23341
SP1	81669
SP1	1185
SP1	4524
SP1	22883
SP1	10256
SP1	1269
SP1	56142
SP1	1307
SP1	56998
SP1	84301
SP1	374946
SP1	10459
SP1	1855
SP1	8215
SP1	1870
SP1	79180
SP1	8672
SP1	1969
SP1	2170
SP1	348487
SP1	127281
SP1	54751
SP1	54455
SP1	114827
SP1	2517
SP1	2582
SP1	10691
SP1	54707
SP1	80045
