tf	him	genes	status
ARNT	k562_0	AVPI1;EXOSC1;ZDHHC16;MARVELD1;MMS19;UBTD1;PGAM1;ZFYVE27	real
ARNT	k562_0	ACTR1A;ACTR1A;ACTR1A;C10orf95;ARL3	random
ARNT	k562_0	C10orf95;CUEDC2;CUEDC2;FBXL15;C10orf95	random
ARNT	k562_0	CUEDC2;FBXL15;FBXL15;GBF1;FBXL15	random
ARNT	k562_0	FBXL15;NFKB2;NFKB2;NFKB2;NFKB2	random
ARNT	k562_0	GBF1;SFXN2;NFKB2;NOLC1;NFKB2	random
ARNT	k562_0	NOLC1;SFXN2;SFXN2;NOLC1;SFXN2	random
ARNT	k562_0	NOLC1;SUFU;SFXN2;SUFU;SFXN2	random
ARNT	k562_0	SUFU;TRIM8;SUFU;SUFU;SUFU	random
ARNT	k562_2	CRABP2;ETV3;FCGR2A;GJA5;HSPA6;LENEP;PEAR1;S100A3	real
ARNT	k562_2	AQP10;DUSP23;CAPZB;CERS2;AHCTF1	random
ARNT	k562_2	DUSP23;IGSF8;CELA2B;CKS1B;AKT3	random
ARNT	k562_2	MLLT11;KIFAP3;EXOSC10;CTSS;C1orf101	random
ARNT	k562_2	MTX1;NHLH1;H6PD;LMX1A;CHRM3	random
ARNT	k562_2	NOTCH2NL;PIGM;LUZP1;MRPL24;COX20	random
ARNT	k562_2	SCAMP3;SELE;NMNAT1;PBXIP1;HNRNPU	random
ARNT	k562_2	SNX27;SSR2;PIK3CD;PIP5K1A;NTPCR	random
ARNT	k562_2	TMEM79;UCK2;RSG1;SCNM1;TFB2M	random
ARNT	k562_3	ACTR8;CACNA2D2;CCDC13;CELSR3;COL7A1;HYAL1;IP6K2;MANF;RBM15B;NCKIPSD;OSBPL10;ZNF860;RASSF1;SCAP;SEMA3F;SLC26A6;TMEM115;UCN2;UQCRC1;VILL;VPRBP;ZBTB47;ZNF445	real
ARNT	k562_3	ANO10;ABCC5;ALG3;BTD;APEH	random
ARNT	k562_3	BSN;C3orf70;C3orf70;CHCHD4;BAP1	random
ARNT	k562_3	CAMP;CAMK2N2;CAMK2N2;EOMES;BSN	random
ARNT	k562_3	CCR1;DCUN1D1;CCDC50;GHRL;CDC25A	random
ARNT	k562_3	CLASP2;DNAJC19;DNAJB11;HDAC11;CSRNP1	random
ARNT	k562_3	EOMES;DVL3;DNAJC19;IL17RC;CTNNB1	random
ARNT	k562_3	FYCO1;ECE2;ECT2;LSM3;CYB561D2	random
ARNT	k562_3	GOLGA4;ETV5;EIF2B5;METTL6;EIF1B	random
ARNT	k562_3	GPD1L;FAM131A;EIF4G1;NGLY1;GADL1	random
ARNT	k562_3	KIF9;FXR1;EPHB3;NUP210;GLYCTK	random
ARNT	k562_3	LARS2;GOLIM4;ETV5;OXNAD1;HYAL3	random
ARNT	k562_3	LTF;IL1RAP;FAM131A;PLCL2;LARS2	random
ARNT	k562_3	LZTFL1;MAGEF1;FNDC3B;SATB1;LZTFL1	random
ARNT	k562_3	MAP4;MAP3K13;HES1;SEC13;NBEAL2	random
ARNT	k562_3	NBEAL2;PHC3;IGF2BP2;SH3BP5;NISCH	random
ARNT	k562_3	NKTR;RPL39L;LPP;SLC6A6;PBRM1	random
ARNT	k562_3	PLXNB1;RTP4;MAP3K13;STT3B;QARS	random
ARNT	k562_3	POMGNT2;SOX2;TBCCD1;TAMM41;RBM5	random
ARNT	k562_3	SETD2;THPO;TBL1XR1;TATDN2;SS18L2	random
ARNT	k562_3	VIPR1;TP63;TMEM41A;TBC1D5;ULK4	random
ARNT	k562_3	ZKSCAN7;TTC14;TRA2B;TMEM43;ZDHHC3	random
ARNT	k562_3	ZNF501;USP13;TTC14;TSEN2;ZMYND10	random
ARNT	k562_3	ZNF621;ZMAT3;USP13;VHL;ZNF589	random
ARNT	k562_4	BEX2;GPRASP2;TCEAL2;TCEAL3;TCEAL8;TMSB15A	real
ARNT	k562_4	ABCD1;ARMCX1;GABRA3;FAM104B;ARAF	random
ARNT	k562_4	MAGEA1;ARMCX3;GABRE;GNL3L;JADE3	random
ARNT	k562_4	PNMA5;ARMCX6;MAGEA12;KLF8;PORCN	random
ARNT	k562_4	TAZ;BEX5;MAGEA4;MAGEH1;SYN1	random
ARNT	k562_4	TMEM187;CSTF2;PASD1;TRO;ZNF41	random
ARNT	k562_4	TREX2;TSPAN6;PNMA3;TSR2;ZNF81	random
ARNT	k562_80	APOBR;CLN3;ASPHD1;SEZ6L2;ATXN2L;BCKDK;BCL7C;CTF1;CD2BP2;CDR2;CHP2;CORO1A;DCTPP1;DCUN1D3;LYRM1;EEF2K;FBRS;FBXL19;FUS;HIRIP3;INO80E;HSD3B7;ITGAL;KAT8;ORAI3;SETD1A;PHKG2;POLR3E;PRR14;PRSS8;RBBP6;RNF40;SEPHS2;SEPT1;SH2B1;TUFM;SPNS1;SRCAP;STX1B;STX4;SULT1A1;SULT1A2;TAOK2;TBC1D10B;ZNF48;VKORC1;XPO6;YPEL3;TBX6;ZNF629;ZNF646;ZNF668;ZNF688;ZNF689;ZNF747;ZNF764;ZNF768;ZNF771;ZNF785	real
ARNT	k562_80	ABAT;ABAT;ABCA3;ACD;ABAT	random
ARNT	k562_80	ADCY9;ABCA3;ADCY9;ATP6V0D1;ABCA3	random
ARNT	k562_80	ANKS3;ADCY9;AMDHD2;C16orf70;ADCY9	random
ARNT	k562_80	ATF7IP2;AMDHD2;ATP6V0C;C16orf86;ALG1	random
ARNT	k562_80	ATP6V0C;ATF7IP2;AXIN1;CA7;ARHGDIG	random
ARNT	k562_80	C16orf59;ATF7IP2;BAIAP3;CBFB;ATF7IP2	random
ARNT	k562_80	C16orf71;ATP6V0C;C16orf59;CCDC113;ATF7IP2	random
ARNT	k562_80	CARHSP1;AXIN1;C16orf72;CES2;AXIN1	random
ARNT	k562_80	CASKIN1;C16orf59;CACNA1H;CES3;C16orf71	random
ARNT	k562_80	CCNF;CACNA1H;CAPN15;CES4A;C16orf72	random
ARNT	k562_80	CDIP1;CAPN15;CLCN7;CKLF;CACNA1H	random
ARNT	k562_80	CLDN6;CARHSP1;CORO7-PAM16;CKLF-CMTM1;CARHSP1	random
ARNT	k562_80	CLEC16A;CCNF;EMP2;CMTM1;CLCN7	random
ARNT	k562_80	CLUAP1;CDIP1;EMP2;CMTM3;CLDN6	random
ARNT	k562_80	CORO7;CLCN7;FAHD1;CMTM4;CORO7-PAM16	random
ARNT	k562_80	CREBBP;CLUAP1;FAM173A;CNOT1;DNAJA3	random
ARNT	k562_80	DNAJA3;CREBBP;FLYWCH2;CSNK2A2;DNASE1	random
ARNT	k562_80	DNASE1;DECR2;GLYR1;CTCF;FLYWCH1	random
