name	gene_id	bin	FPKM	expression
A2M	ENSG00000175899	chr12:9260000	1.24	1.046001
A2ML1	ENSG00000166535	Notinthiscell	0.01	0.018001
AAAS	ENSG00000094914	chr12:53710000	8.96	8.374001
AACS	ENSG00000081760	chr12:125540000	11.88	11.012001
AADAC	ENSG00000114771	Notinthiscell	0.75	0.636001
AADAT	ENSG00000109576	chr4:171010000	2.53	2.180001
AAED1	ENSG00000158122	chr9:99410000	5.38	4.952001
AAGAB	ENSG00000103591	chr15:67540000	55.89	51.590001
AAK1	ENSG00000115977	chr2:69870000	12.77	11.704001
AAMDC	ENSG00000087884	chr11:77530000	31.54	28.668001
AAMP	ENSG00000127837	chr2:219130000	58.88	54.126001
AAR2	ENSG00000131043	chr20:34820000	2.26	1.960001
AARD	ENSG00000205002	Notinthiscell	0.0	1e-06
AARS	ENSG00000090861	chr16:70320000	56.02	51.690001
AARS2	ENSG00000124608	chr6:44280000	6.21	5.812001
AARSD1	ENSG00000266967	chr17:41110000	24.56	22.630001
AASDH	ENSG00000157426	chr4:57250000	5.26	4.828001
AASDHPPT	ENSG00000149313	chr11:105940000	154.26	139.432001
AASS	ENSG00000008311	chr7:121780000	22.75	21.098001
AATF	no_id	chr17:35300000	0.0	1e-06
AATK	ENSG00000181409	chr17:79130000	0.38	0.334001
ABAT	ENSG00000183044	chr16:8760000	2.66	2.306001
ABCA1	ENSG00000165029	chr9:107690000	1.32	1.114001
ABCA12	ENSG00000144452	chr2:216000000	0.01	0.018001
ABCA13	ENSG00000179869	Notinthiscell	0.02	0.026001
ABCA2	ENSG00000107331	chr9:139920000	18.3	16.770001
ABCA3	ENSG00000167972	chr16:2390000	7.6	7.032001
ABCA5	ENSG00000154265	chr17:67320000	7.76	7.182001
ABCA6	ENSG00000154262	chr17:67130000	13.19	12.100001
ABCA7	ENSG00000064687	chr19:1040000	3.21	2.810001
ABCA8	ENSG00000141338	chr17:66950000	0.3	0.272001
ABCA9	ENSG00000154258	chr17:67050000	2.65	2.298001
ABCB1	ENSG00000085563	chr7:87340000	2.49	2.142001
ABCB10	ENSG00000135776	chr1:229690000	4.84	4.480001
ABCB4	ENSG00000005471	chr7:87100000	0.16	0.154001
ABCB6	ENSG00000115657	chr2:220080000	27.81	25.562001
ABCB7	ENSG00000131269	chrX:74370000	12.73	11.672001
ABCB8	ENSG00000197150	chr7:150720000	8.39	7.788001
ABCB9	ENSG00000150967	chr12:123450000	3.33	2.938001
ABCC1	no_id	chr16:16040000	0.0	1e-06
ABCC10	ENSG00000124574	chr6:43390000	3.88	3.510001
ABCC2	ENSG00000023839	chr10:101540000	0.22	0.198001
ABCC3	ENSG00000108846	chr17:48710000	0.67	0.566001
ABCC4	ENSG00000125257	chr13:95950000	24.13	22.282001
ABCC5	ENSG00000114770	chr3:183730000	13.81	12.564001
ABCC8	ENSG00000006071	Notinthiscell	0.0	1e-06
ABCD1	ENSG00000101986	chrX:152990000	2.77	2.420001
ABCD2	ENSG00000173208	Notinthiscell	0.0	1e-06
ABCD3	ENSG00000117528	chr1:94880000	16.33	14.896001
ABCD4	ENSG00000119688	chr14:74760000	22.82	21.140001
ABCE1	ENSG00000164163	chr4:146010000	96.8	85.930001
ABCF1	no_id	chr6:30530000	0.0	1e-06
ABCF2	ENSG00000033050	chr7:150920000	63.74	57.948001
ABCF3	ENSG00000161204	chr3:183900000	64.6	58.630001
ABCG1	ENSG00000160179	chr21:43610000	18.04	16.490001
ABCG2	ENSG00000118777	chr4:89150000	1.81	1.552001
ABCG4	ENSG00000172350	chr11:119010000	0.2	0.182001
ABHD1	ENSG00000143994	chr2:27340000	0.86	0.720001
ABHD10	ENSG00000144827	chr3:111690000	15.58	14.200001
ABHD11	ENSG00000106077	chr7:73150000	3.58	3.188001
ABHD12	ENSG00000100997	chr20:25370000	7.66	7.084001
ABHD12B	ENSG00000131969	Notinthiscell	0.03	0.034001
