name	gene_id	bin	FPKM	expression
A2M	ENSG00000175899	chr12:9260000	0.55	0.474001
A2ML1	ENSG00000166535	chr12:8970000	130.73	166.830001
AAAS	ENSG00000094914	chr12:53710000	3.74	5.036001
AACS	ENSG00000081760	chr12:125540000	11.69	16.070001
AADAC	ENSG00000114771	Notinthiscell	0.53	0.454001
AADAT	ENSG00000109576	chr4:171010000	0.0	1e-06
AAED1	ENSG00000158122	chr9:99410000	2.68	3.544001
AAGAB	ENSG00000103591	chr15:67540000	51.76	68.264001
AAK1	ENSG00000115977	chr2:69870000	5.98	8.228001
AAMDC	ENSG00000087884	chr11:77530000	5.75	7.870001
AAMP	ENSG00000127837	chr2:219130000	77.94	99.034001
AAR2	ENSG00000131043	chr20:34820000	1.86	2.294001
AARD	ENSG00000205002	chr8:117950000	0.0	1e-06
AARS	ENSG00000090861	chr16:70320000	69.34	89.288001
AARS2	ENSG00000124608	chr6:44280000	2.7	3.566001
AARSD1	ENSG00000266967	chr17:41110000	12.06	16.546001
AASDH	ENSG00000157426	chr4:57250000	10.51	14.344001
AASDHPPT	ENSG00000149313	chr11:105940000	83.69	105.588001
AASS	ENSG00000008311	chr7:121780000	3.02	4.014001
AATF	no_id	chr17:35300000	0.0	1e-06
AATK	ENSG00000181409	Notinthiscell	0.06	0.022001
ABAT	ENSG00000183044	chr16:8760000	3.79	5.082001
ABCA1	ENSG00000165029	chr9:107690000	1.84	2.260001
ABCA12	ENSG00000144452	chr2:216000000	18.19	24.902001
ABCA13	ENSG00000179869	chr7:48210000	0.02	0.004001
ABCA2	ENSG00000107331	chr9:139920000	11.06	15.230001
ABCA3	ENSG00000167972	chr16:2390000	0.23	0.144001
ABCA5	ENSG00000154265	chr17:67320000	20.84	28.692001
ABCA6	ENSG00000154262	Notinthiscell	0.14	0.074001
ABCA7	ENSG00000064687	chr19:1040000	12.56	17.232001
ABCA8	ENSG00000141338	Notinthiscell	0.0	1e-06
ABCA9	ENSG00000154258	Notinthiscell	0.33	0.240001
ABCB1	ENSG00000085563	Notinthiscell	0.13	0.066001
