name	gene_id	bin	FPKM	expression
A2M	ENSG00000175899	chr12:9260000	0.35	0.342001
A2ML1	ENSG00000166535	Notinthiscell	0.02	0.010001
AAAS	ENSG00000094914	chr12:53710000	14.15	13.688001
AACS	ENSG00000081760	chr12:125540000	9.83	9.318001
AADAC	ENSG00000114771	Notinthiscell	0.0	1e-06
AADAT	ENSG00000109576	Notinthiscell	0.0	1e-06
AAED1	ENSG00000158122	chr9:99410000	0.47	0.468001
AAGAB	ENSG00000103591	chr15:67540000	27.85	27.176001
AAK1	ENSG00000115977	chr2:69870000	4.24	3.984001
AAMDC	ENSG00000087884	chr11:77530000	7.19	6.796001
AAMP	ENSG00000127837	chr2:219130000	69.32	74.582001
AAR2	ENSG00000131043	chr20:34820000	5.05	4.716001
AARD	ENSG00000205002	Notinthiscell	0.82	0.808001
AARS	ENSG00000090861	chr16:70320000	94.0	104.864001
AARS2	ENSG00000124608	chr6:44280000	9.28	8.714001
AARSD1	ENSG00000266967	chr17:41110000	34.07	34.048001
AASDH	ENSG00000157426	chr4:57250000	5.84	5.464001
AASDHPPT	ENSG00000149313	chr11:105940000	44.15	45.064001
AASS	ENSG00000008311	chr7:121780000	2.78	2.652001
AATF	no_id	chr17:35300000	0.0	1e-06
AATK	ENSG00000181409	Notinthiscell	0.0	1e-06
ABAT	ENSG00000183044	chr16:8760000	4.33	4.054001
ABCA1	ENSG00000165029	Notinthiscell	0.18	0.164001
ABCA12	ENSG00000144452	chr2:216000000	6.79	6.432001
ABCA13	ENSG00000179869	Notinthiscell	0.0	1e-06
ABCA2	ENSG00000107331	chr9:139920000	3.5	3.296001
ABCA3	ENSG00000167972	chr16:2390000	3.28	3.092001
ABCA5	ENSG00000154265	chr17:67320000	20.41	19.558001
ABCA6	ENSG00000154262	Notinthiscell	4.51	4.220001
ABCA7	ENSG00000064687	chr19:1040000	9.78	9.264001
ABCA8	ENSG00000141338	Notinthiscell	0.04	0.024001
ABCA9	ENSG00000154258	Notinthiscell	0.33	0.318001
ABCB1	ENSG00000085563	Notinthiscell	0.44	0.440001
ABCB10	ENSG00000135776	chr1:229690000	6.42	6.036001
ABCB4	ENSG00000005471	chr7:87100000	7.18	6.782001
ABCB6	ENSG00000115657	chr2:220080000	21.73	20.848001
ABCB7	ENSG00000131269	chrX:74370000	43.44	44.190001
ABCB8	ENSG00000197150	chr7:150720000	7.84	7.432001
ABCB9	ENSG00000150967	chr12:123450000	0.61	0.604001
ABCC1	no_id	chr16:16040000	0.0	1e-06
ABCC10	ENSG00000124574	chr6:43390000	6.07	5.682001
ABCC2	ENSG00000023839	chr10:101540000	0.29	0.278001
ABCC3	ENSG00000108846	chr17:48710000	0.86	0.844001
ABCC4	ENSG00000125257	chr13:95950000	28.76	28.302001
ABCC5	ENSG00000114770	chr3:183730000	7.66	7.264001
ABCC8	ENSG00000006071	chr11:17490000	0.0	1e-06
ABCD1	ENSG00000101986	chrX:152990000	1.5	1.454001
ABCD2	ENSG00000173208	chr12:40010000	2.73	2.612001
ABCD3	ENSG00000117528	chr1:94880000	6.67	6.296001
ABCD4	ENSG00000119688	chr14:74760000	19.83	19.086001
ABCE1	ENSG00000164163	chr4:146010000	56.08	58.288001
ABCF1	no_id	chr6:30530000	0.0	1e-06
ABCF2	ENSG00000033050	chr7:150920000	49.92	51.070001
ABCF3	ENSG00000161204	chr3:183900000	68.41	73.462001
ABCG1	ENSG00000160179	chr21:43610000	2.98	2.826001
ABCG2	ENSG00000118777	Notinthiscell	0.02	0.010001
ABCG4	ENSG00000172350	Notinthiscell	0.03	0.014001
ABHD1	ENSG00000143994	Notinthiscell	0.5	0.496001
ABHD10	ENSG00000144827	chr3:111690000	15.59	14.986001
ABHD11	ENSG00000106077	chr7:73150000	3.6	3.394001
ABHD12	ENSG00000100997	chr20:25370000	13.05	12.452001
ABHD12B	ENSG00000131969	Notinthiscell	0.0	1e-06
ABHD13	ENSG00000139826	chr13:108870000	2.3	2.208001
ABHD14A	ENSG00000248487	chr3:52000000	1.98	1.894001
ABHD14B	ENSG00000114779	chr3:52000000	23.65	22.928001
ABHD15	ENSG00000168792	chr17:27890000	1.44	1.408001
ABHD16A	no_id	chr6:31670000	0.0	1e-06
ABHD17A	ENSG00000129968	chr19:1880000	14.29	13.834001
ABHD17B	ENSG00000107362	chr9:74520000	5.95	5.586001
ABHD17C	ENSG00000136379	chr15:80980000	0.7	0.692001
ABHD2	ENSG00000140526	chr15:89630000	27.26	26.570001
ABHD3	ENSG00000158201	chr18:19280000	4.58	4.298001
ABHD4	ENSG00000100439	chr14:23060000	8.86	8.346001
ABHD5	ENSG00000011198	chr3:43730000	4.37	4.098001
ABHD6	ENSG00000163686	chr3:58220000	7.12	6.726001
ABHD8	ENSG00000127220	chr19:17410000	1.63	1.560001
ABI1	ENSG00000136754	chr10:27150000	43.63	44.444001
ABI2	ENSG00000138443	chr2:204190000	27.55	26.876001
ABI3	ENSG00000108798	chr17:47280000	28.33	27.750001
ABI3BP	ENSG00000154175	Notinthiscell	0.21	0.202001
ABL1	ENSG00000097007	chr9:133580000	8.5	8.026001
ABL2	ENSG00000143322	chr1:179190000	1.52	1.480001
ABLIM1	ENSG00000099204	chr10:116520000	40.14	40.340001
ABLIM2	ENSG00000163995	chr4:8160000	0.16	0.136001
ABLIM3	ENSG00000173210	Notinthiscell	0.11	0.088001
ABR	no_id	chr17:1130000	0.0	1e-06
ABRA	ENSG00000174429	Notinthiscell	0.0	1e-06
ABRACL	ENSG00000146386	chr6:139340000	33.81	33.834001
ABT1	ENSG00000146109	chr6:26590000	11.57	10.904001
ABTB1	ENSG00000114626	chr3:127390000	10.52	9.882001
ABTB2	ENSG00000166016	chr11:34370000	1.67	1.590001
ACAA1	ENSG00000060971	chr3:38170000	38.57	38.616001
ACAA2	ENSG00000167315	chr18:47340000	43.72	44.634001
ACACA	no_id	chr17:35760000	0.0	1e-06
ACACB	ENSG00000076555	Notinthiscell	1.62	1.554001
ACAD10	ENSG00000111271	chr12:112120000	11.08	10.422001
ACAD11	ENSG00000240303	chr3:132370000	10.61	9.986001
ACAD8	ENSG00000151498	chr11:134120000	9.31	8.752001
ACAD9	ENSG00000177646	chr3:128590000	15.77	15.172001
ACADL	ENSG00000115361	Notinthiscell	0.0	1e-06
ACADM	ENSG00000117054	chr1:76190000	107.6	118.710001
ACADS	ENSG00000122971	chr12:121160000	6.85	6.474001
ACADSB	ENSG00000196177	chr10:124760000	18.5	17.736001
ACADVL	ENSG00000072778	chr17:7120000	162.2	176.140001
ACAN	ENSG00000157766	Notinthiscell	0.0	1e-06
ACAP1	ENSG00000072818	chr17:7230000	107.93	118.992001
ACAP2	ENSG00000114331	chr3:195160000	29.19	28.762001
ACAP3	ENSG00000131584	chr1:1240000	7.92	7.508001
ACAT1	ENSG00000075239	chr11:107990000	63.55	67.626001
ACAT2	ENSG00000120437	chr6:160180000	66.99	71.390001
ACBD3	ENSG00000182827	chr1:226370000	38.28	38.266001
ACBD4	ENSG00000181513	chr17:43200000	7.43	7.058001
ACBD5	ENSG00000107897	chr10:27530000	10.25	9.644001
ACBD6	ENSG00000230124	chr1:180470000	1.34	1.314001
ACBD7	ENSG00000176244	chr10:15130000	1.4	1.368001
ACCS	ENSG00000110455	chr11:44080000	19.1	18.318001
ACD	ENSG00000102977	chr16:67690000	19.04	18.254001
ACE	ENSG00000159640	Notinthiscell	0.22	0.214001
ACE2	ENSG00000130234	Notinthiscell	0.0	1e-06
ACER1	ENSG00000167769	Notinthiscell	0.0	1e-06
ACER2	ENSG00000177076	chr9:19400000	0.74	0.730001
ACER3	ENSG00000078124	chr11:76570000	1.77	1.720001
ACHE	ENSG00000087085	chr7:100490000	1.4	1.368001
ACIN1	ENSG00000100813	chr14:23560000	55.77	57.826001
ACKR2	ENSG00000144648	Notinthiscell	0.03	0.014001
ACKR3	ENSG00000144476	chr2:237470000	6.12	5.740001
ACKR4	ENSG00000129048	Notinthiscell	0.12	0.096001
ACLY	ENSG00000131473	chr17:40070000	98.74	109.732001
ACMSD	ENSG00000153086	Notinthiscell	0.04	0.024001
ACO1	ENSG00000122729	chr9:32380000	5.11	4.782001
ACO2	ENSG00000100412	chr22:41860000	91.16	102.248001
ACOT1	ENSG00000184227	chr14:74000000	1.5	1.454001
ACOT11	ENSG00000162390	Notinthiscell	0.54	0.530001
ACOT13	ENSG00000112304	chr6:24660000	45.22	46.442001
ACOT2	ENSG00000119673	chr14:74030000	7.01	6.630001
ACOT4	ENSG00000177465	chr14:74050000	0.32	0.306001
ACOT7	ENSG00000097021	chr1:6450000	25.65	24.982001
ACOT8	ENSG00000101473	chr20:44480000	14.99	14.452001
ACOT9	ENSG00000123130	chrX:23760000	12.64	11.982001
ACOX1	ENSG00000161533	chr17:73970000	18.09	17.310001
ACOX2	ENSG00000168306	Notinthiscell	0.0	1e-06
ACOX3	ENSG00000087008	chr4:8440000	22.26	21.346001
ACOXL	ENSG00000153093	chr2:111490000	0.72	0.714001
ACP1	ENSG00000143727	chr2:260000	186.71	205.070001
ACP2	ENSG00000134575	chr11:47270000	6.37	5.988001
ACP5	ENSG00000102575	chr19:11680000	65.34	69.712001
ACP6	ENSG00000162836	chr1:147140000	10.62	9.996001
ACPP	ENSG00000014257	chr3:132030000	0.0	1e-06
ACRBP	ENSG00000111644	chr12:6750000	0.96	0.946001
ACRC	no_id	Notinthiscell	0.0	1e-06
ACSBG1	ENSG00000103740	chr15:78520000	0.17	0.150001
ACSF2	ENSG00000167107	chr17:48500000	44.76	45.878001
ACSF3	ENSG00000176715	chr16:89160000	27.89	27.254001
