name	gene_id	bin	FPKM	expression
A2M	ENSG00000175899	chr12:9260000	3.38	2.986001
A2ML1	ENSG00000166535	Notinthiscell	0.0	1e-06
AAAS	ENSG00000094914	chr12:53710000	12.63	11.854001
AACS	ENSG00000081760	chr12:125540000	21.92	20.936001
AADAC	ENSG00000114771	chr3:151530000	0.17	0.194001
AADAT	ENSG00000109576	chr4:171010000	3.6	3.216001
AAED1	ENSG00000158122	chr9:99410000	5.82	5.264001
AAGAB	ENSG00000103591	chr15:67540000	45.38	44.634001
AAK1	ENSG00000115977	chr2:69870000	1.0	0.894001
AAMDC	ENSG00000087884	chr11:77530000	11.63	10.864001
AAMP	ENSG00000127837	chr2:219130000	50.64	49.656001
AAR2	ENSG00000131043	chr20:34820000	3.64	3.246001
AARD	ENSG00000205002	Notinthiscell	0.0	1e-06
AARS	ENSG00000090861	chr16:70320000	42.4	41.556001
AARS2	ENSG00000124608	chr6:44280000	4.67	4.162001
AARSD1	ENSG00000266967	chr17:41110000	20.7	19.784001
AASDH	ENSG00000157426	chr4:57250000	4.76	4.262001
AASDHPPT	ENSG00000149313	chr11:105940000	55.37	54.024001
AASS	ENSG00000008311	chr7:121780000	0.58	0.548001
AATF	no_id	chr17:35300000	0.0	1e-06
AATK	ENSG00000181409	Notinthiscell	4.05	3.610001
ABAT	ENSG00000183044	chr16:8760000	2.93	2.558001
ABCA1	ENSG00000165029	chr9:107690000	0.8	0.742001
ABCA12	ENSG00000144452	chr2:216000000	0.02	0.064001
ABCA13	ENSG00000179869	Notinthiscell	0.0	1e-06
ABCA2	ENSG00000107331	chr9:139920000	244.71	235.014001
ABCA3	ENSG00000167972	chr16:2390000	5.08	4.586001
ABCA5	ENSG00000154265	chr17:67320000	6.66	6.026001
ABCA6	ENSG00000154262	Notinthiscell	0.02	0.064001
ABCA7	ENSG00000064687	chr19:1040000	30.93	29.964001
ABCA8	ENSG00000141338	chr17:66950000	0.69	0.640001
ABCA9	ENSG00000154258	Notinthiscell	0.09	0.132001
ABCB1	ENSG00000085563	Notinthiscell	0.0	1e-06
ABCB10	ENSG00000135776	chr1:229690000	4.55	4.042001
ABCB4	ENSG00000005471	chr7:87100000	0.0	1e-06
ABCB6	ENSG00000115657	chr2:220080000	32.95	32.206001
ABCB7	ENSG00000131269	chrX:74370000	59.42	58.288001
ABCB8	ENSG00000197150	chr7:150720000	2.69	2.366001
ABCB9	ENSG00000150967	chr12:123450000	1.68	1.468001
ABCC1	no_id	chr16:16040000	0.0	1e-06
ABCC10	ENSG00000124574	chr6:43390000	2.15	1.876001
ABCC2	ENSG00000023839	chr10:101540000	24.66	23.688001
ABCC3	ENSG00000108846	chr17:48710000	76.03	75.392001
ABCC4	ENSG00000125257	chr13:95950000	6.06	5.504001
ABCC5	ENSG00000114770	chr3:183730000	10.58	9.736001
ABCC8	ENSG00000006071	Notinthiscell	2.57	2.266001
ABCD1	ENSG00000101986	chrX:152990000	5.87	5.312001
ABCD2	ENSG00000173208	Notinthiscell	0.0	1e-06
