name	gene_id	bin	FPKM	expression
A2M	ENSG00000175899	chr12:9260000	0.0	1e-06
A2ML1	ENSG00000166535	Notinthiscell	0.14	0.226001
AAAS	ENSG00000094914	chr12:53710000	29.88	26.614001
AACS	ENSG00000081760	chr12:125540000	5.63	5.580001
AADAC	ENSG00000114771	Notinthiscell	0.0	1e-06
AADAT	ENSG00000109576	chr4:171010000	0.06	0.092001
AAED1	ENSG00000158122	chr9:99410000	3.25	3.440001
AAGAB	ENSG00000103591	chr15:67540000	95.23	81.176001
AAK1	ENSG00000115977	chr2:69870000	2.86	3.094001
AAMDC	ENSG00000087884	chr11:77530000	13.33	12.472001
AAMP	ENSG00000127837	chr2:219130000	106.12	90.130001
AAR2	ENSG00000131043	chr20:34820000	6.34	6.162001
AARD	ENSG00000205002	Notinthiscell	0.0	1e-06
AARS	ENSG00000090861	chr16:70320000	122.81	103.162001
AARS2	ENSG00000124608	chr6:44280000	16.75	15.476001
AARSD1	ENSG00000266967	chr17:41110000	60.61	51.938001
AASDH	ENSG00000157426	chr4:57250000	9.05	8.582001
AASDHPPT	ENSG00000149313	chr11:105940000	100.35	85.308001
AASS	ENSG00000008311	chr7:121780000	0.0	1e-06
AATF	no_id	chr17:35300000	0.0	1e-06
AATK	ENSG00000181409	chr17:79130000	0.0	1e-06
ABAT	ENSG00000183044	chr16:8760000	0.06	0.092001
ABCA1	ENSG00000165029	chr9:107690000	0.0	1e-06
ABCA12	ENSG00000144452	chr2:216000000	0.02	0.030001
ABCA13	ENSG00000179869	chr7:48210000	0.04	0.062001
ABCA2	ENSG00000107331	chr9:139920000	19.74	18.248001
ABCA3	ENSG00000167972	chr16:2390000	6.91	6.694001
ABCA5	ENSG00000154265	chr17:67320000	0.2	0.312001
ABCA6	ENSG00000154262	chr17:67130000	0.15	0.246001
ABCA7	ENSG00000064687	chr19:1040000	22.65	20.554001
ABCA8	ENSG00000141338	chr17:66950000	6.05	5.902001
ABCA9	ENSG00000154258	Notinthiscell	0.19	0.298001
ABCB1	ENSG00000085563	Notinthiscell	1.34	1.698001
ABCB10	ENSG00000135776	chr1:229690000	12.2	11.488001
ABCB4	ENSG00000005471	chr7:87100000	0.44	0.660001
ABCB6	ENSG00000115657	chr2:220080000	21.32	19.466001
ABCB7	ENSG00000131269	chrX:74370000	24.12	21.782001
ABCB8	ENSG00000197150	chr7:150720000	27.62	24.536001
ABCB9	ENSG00000150967	chr12:123450000	3.69	3.802001
ABCC1	no_id	chr16:16040000	0.0	1e-06
ABCC10	ENSG00000124574	chr6:43390000	7.43	7.132001
ABCC2	ENSG00000023839	Notinthiscell	0.11	0.174001
ABCC3	ENSG00000108846	chr17:48710000	0.38	0.580001
ABCC4	ENSG00000125257	chr13:95950000	32.02	28.296001
ABCC5	ENSG00000114770	chr3:183730000	59.97	51.288001
ABCC8	ENSG00000006071	Notinthiscell	0.0	1e-06
ABCD1	ENSG00000101986	chrX:152990000	1.87	2.208001
ABCD2	ENSG00000173208	chr12:40010000	0.03	0.046001
ABCD3	ENSG00000117528	chr1:94880000	11.82	11.150001
ABCD4	ENSG00000119688	chr14:74760000	9.95	9.452001
ABCE1	ENSG00000164163	chr4:146010000	131.67	112.096001
ABCF1	no_id	chr6:30530000	0.0	1e-06
ABCF2	ENSG00000033050	chr7:150920000	188.6	156.682001
ABCF3	ENSG00000161204	chr3:183900000	112.1	95.102001
ABCG1	ENSG00000160179	chr21:43610000	0.06	0.092001
ABCG2	ENSG00000118777	chr4:89150000	0.3	0.462001
ABCG4	ENSG00000172350	Notinthiscell	0.02	0.030001
ABHD1	ENSG00000143994	chr2:27340000	0.42	0.630001
ABHD10	ENSG00000144827	chr3:111690000	7.23	6.970001
ABHD11	ENSG00000106077	chr7:73150000	10.5	9.986001
ABHD12	ENSG00000100997	chr20:25370000	5.06	5.076001
ABHD12B	ENSG00000131969	Notinthiscell	0.0	1e-06
ABHD13	ENSG00000139826	chr13:108870000	1.7	2.066001
ABHD14A	ENSG00000248487	chr3:52000000	2.31	2.648001
ABHD14B	ENSG00000114779	chr3:52000000	22.91	20.782001
ABHD15	ENSG00000168792	chr17:27890000	1.31	1.662001
ABHD16A	no_id	chr6:31670000	0.0	1e-06
ABHD17A	ENSG00000129968	chr19:1880000	12.6	11.814001
ABHD17B	ENSG00000107362	chr9:74520000	5.1	5.098001
ABHD17C	ENSG00000136379	chr15:80980000	0.02	0.030001
ABHD2	ENSG00000140526	chr15:89630000	85.13	72.808001
ABHD3	ENSG00000158201	chr18:19280000	6.19	6.032001
ABHD4	ENSG00000100439	chr14:23060000	5.28	5.248001
ABHD5	ENSG00000011198	chr3:43730000	28.32	25.230001
ABHD6	ENSG00000163686	chr3:58220000	2.15	2.486001
ABHD8	ENSG00000127220	chr19:17410000	0.52	0.768001
ABI1	ENSG00000136754	chr10:27150000	26.53	23.696001
ABI2	ENSG00000138443	chr2:204190000	13.0	12.172001
ABI3	ENSG00000108798	chr17:47280000	0.03	0.046001
ABI3BP	ENSG00000154175	chr3:100710000	0.0	1e-06
ABL1	ENSG00000097007	chr9:133580000	28.64	25.644001
ABL2	ENSG00000143322	chr1:179190000	4.18	4.262001
ABLIM1	ENSG00000099204	chr10:116520000	0.11	0.174001
ABLIM2	ENSG00000163995	Notinthiscell	0.0	1e-06
ABLIM3	ENSG00000173210	chr5:148520000	0.33	0.508001
ABR	no_id	chr17:1130000	0.0	1e-06
ABRA	ENSG00000174429	Notinthiscell	0.0	1e-06
ABRACL	ENSG00000146386	chr6:139340000	0.91	1.234001
ABT1	ENSG00000146109	chr6:26590000	23.35	21.178001
ABTB1	ENSG00000114626	chr3:127390000	0.72	1.010001
ABTB2	ENSG00000166016	chr11:34370000	0.18	0.286001
ACAA1	ENSG00000060971	chr3:38170000	47.6	40.956001
ACAA2	ENSG00000167315	chr18:47340000	20.67	18.910001
ACACA	no_id	chr17:35760000	0.0	1e-06
ACACB	ENSG00000076555	Notinthiscell	2.11	2.456001
ACAD10	ENSG00000111271	chr12:112120000	6.07	5.920001
ACAD11	ENSG00000240303	chr3:132370000	2.32	2.658001
ACAD8	ENSG00000151498	chr11:134120000	10.08	9.594001
ACAD9	ENSG00000177646	chr3:128590000	15.71	14.580001
ACADL	ENSG00000115361	Notinthiscell	0.0	1e-06
ACADM	ENSG00000117054	chr1:76190000	86.19	73.484001
ACADS	ENSG00000122971	chr12:121160000	4.62	4.670001
